# Central Kurdish bizroke lexicon — word<TAB>IPA, for the UNWRITTEN short /ɪ/ only.
# Every entry differs from this engine's rule output by inserted /ɪ/ and NOTHING ELSE: the
# consonant skeleton is ours and independently confirmed, the vowel is what we lack.
# Built by tools/central-kurdish/build_ckb_lexicon.py from the AsoSoft Kurdish-G2P-dataset.
# ⚠ SOURCE TERMS AND THE TWO MANDATORY CITATIONS: LICENSES/LicenseRef-AsoSoftKurdishG2P.txt
ئاخافتن	ʔaːxaːftɪn
ئاخاوتن	ʔaːxaːwtɪn
ئاخر	ʔaːxɪɾ
ئازادکردنی	ʔaːzaːdkɪɾdɪniː
ئاسانتر	ʔaːsaːntɪɾ
ئاسایش	ʔaːsaːjɪʃ
ئاسایشی	ʔaːsaːjɪʃiː
ئاسایشی	ʔaːsaːjɪʃiː
ئاسن	ʔaːsɪn
ئاسوودەتر	ʔaːsuːdatɪɾ
ئاشکرا	ʔaːʃkɪɾaː
ئاشکرا	ʔaːʃkɪɾaː
ئاشکرای	ʔaːʃkɪɾaːj
ئاشکرایکرد	ʔaːʃkɪɾaːjkɪɾd
ئاشکرایە	ʔaːʃkɪɾaːja
ئاشکرایە	ʔaːʃkɪɾaːja
ئافراندنی	ʔaːfɾaːndɪniː
ئافرەتانی	ʔaːfɪɾataːniː
ئامادەکراوەکانی	ʔaːmaːdakɪɾaːwakaːniː
ئامادەکردنی	ʔaːmaːdakɪɾdɪniː
ئامانجم	ʔaːmaːnd͡ʒɪm
ئاوریان	ʔaːwɪɾjaːn
ئاگر	ʔaːɡɪɾ
ئاگری	ʔaːɡɪɾiː
ئاگری	ʔaːɡɪɾiː
ئاڵن	ʔaːɫɪn
ئایندە	ʔaːjɪnda
ئایندەی	ʔaːjɪndaj
ئزمیر	ʔɪzmiːɾ
ئوسترالیا	ʔustɪɾaːljaː
ئۆپۆزسیۆن	ʔoːpoːzɪsjoːn
ئۆپۆزسیۆنی	ʔoːpoːzɪsjoːniː
ئیتر	ʔiːtɪɾ
ئیتر	ʔiːtɪɾ
ئیسمایل	ʔiːsmaːjɪl
ئیمپراتۆری	ʔiːmpɪɾaːtoːɾiː
ئینتەرنت	ʔiːntaɾnɪt
ئینقلابی	ʔiːnqɪlaːbiː
ئێلیفسن	ʔeːliːfsɪn
ئەبوبەکر	ʔabubakɪɾ
ئەرتش	ʔaɾtɪʃ
ئەرتشی	ʔaɾtɪʃiː
ئەرتشیدا	ʔaɾtɪʃiːdaː
ئەرتشییە	ʔaɾtɪʃiːja
ئەرمەنستاندا	ʔaɾmanɪstaːndaː
ئەرمەنستانیش	ʔaɾmanɪstaːniːʃ
ئەسپێردرایە	ʔaspeːɾdɪɾaːja
ئەشکەنجەکراوەکان	ʔaʃkand͡ʒakɪɾaːwakaːn
ئەفغانستان	ʔafɣaːnɪstaːn
ئەلەکساندر	ʔalaksaːndɪɾ
ئەمن	ʔamɪn
ئەمن	ʔamɪn
ئەمنیش	ʔamɪniːʃ
ئەنجامدرا	ʔand͡ʒaːmdɪɾaː
ئەنجامدراوە	ʔand͡ʒaːmdɪɾaːwa
ئەکرد	ʔakɪɾd
ئەکرێت	ʔakɪɾeːt
ئەکرەم	ʔakɪɾam
بارگواستنەوە	baːɾɡwaːstɪnawa
بازرگانانە	baːzɪɾɡaːnaːna
بازرگانی	baːzɪɾɡaːniː
بازرگانی	baːzɪɾɡaːniː
بازرگانییان	baːzɪɾɡaːniːjaːn
بازرگانەکان	baːzɪɾɡaːnakaːn
بازرگانەکانیشەوە	baːzɪɾɡaːnakaːniːʃawa
باسم	baːsɪm
باسکردنی	baːskɪɾdɪniː
باشتر	baːʃtɪɾ
باشتر	baːʃtɪɾ
باشترین	baːʃtɪɾiːn
باشترە	baːʃtɪɾa
باغجالر	baːɣd͡ʒaːlɪɾ
باوکم	baːwkɪm
بایرن	baːjɾɪn
بایز	baːjɪz
بایەختر	baːjaxtɪɾ
ببات	bɪbaːt
بباتەوە	bɪbaːtawa
ببرێتە	bɪbɾeːta
ببن	bɪbɪn
ببن	bɪbɪn
ببنە	bɪbna
ببنە	bɪbɪna
ببنەوە	bɪbnawa
ببنەوە	bɪbɪnawa
ببیندرێ	bɪbiːndɪɾeː
ببیندرێنەوە	bɪbiːndɪɾeːnawa
ببینمەوە	bɪbiːnmawa
ببینن	bɪbiːnɪn
ببینین	bɪbiːniːn
ببینێت	bɪbiːneːt
ببینە	bɪbiːna
ببێت	bɪbeːt
ببێتە	bɪbeːta
ببێتە	bɪbeːta
ببێتەوە	bɪbeːtawa
ببێتەوە	bɪbeːtawa
ببەستێتەوە	bɪbasteːtawa
ببەن	bɪban
بتواندرێ	bɪtwaːndɪɾeː
بتوانم	bɪtwaːnɪm
بتوانم	bɪtwaːnɪm
بتوانن	bɪtwaːnɪn
بتوانن	bɪtwaːnɪn
بتوانین	bɪtwaːniːn
