# ha_tone.tsv — Hausa word→tone lexicon. Word→tone facts extracted from Wiktionary via
# kaikki.org (https://kaikki.org/dictionary/Hausa/) and re-encoded in our own H/L/F/R
# notation. A word's tone is a linguistic FACT, not copyrightable expression — credited
# here as provenance, not as a licensed work. Tone is not derivable from spelling, so the
# L2S overlays it from here (build-tone-lexicon.ts).
# Pattern is one code per vowel nucleus: H high · L low · F falling · R rising. All-Low
# words are omitted (privative-H convention). Out-of-lexicon words are left untoned.
# Regenerate: npx tsx tools/build-tone-lexicon.ts ha <kaikki.jsonl>
'ya	H
'yar	H
a'ishatu	HLHL
abacada	LLLF
abada	LLF
abarba	LLH
abdu	HL
abdulhamid	LLLF
abdulƙadir	LLHL
abdullahi	LLHL
abdurrahim	LLLF
abdussalamu	LLLHL
abiyo	LLF
abjadi	HLH
aboka	LLF
aboki	LHH
abu	LL
abubakar	LHHL
acca	HL
adabi	HLH
adabo	HLH
adadi	HLH
adam	HL
adamu	LLH
adawa	LHL
addaba	LHL
addini	LHL
addu'a	LHL
adire	LLH
adu	HH
aduwa	HHL
afirka	HHL
afrilu	LHL
agade	LLL
agogo	LHH
agola	HLL
agushi	LHH
agusta	LHL
agwado	LLH
agwagwa	LLH
ahmad	HL
ajali	HLH
ajami	LLH
ajiye	HLH
ajuza	LHL
akala	HLL
akara	LLL
akasidan	HHLF
akawal	HHL
akawali	HHLH
akawu	LLH
akure	LHH
akushi	HLH
akuya	LHL
akwasa	HHH
akwati	LLL
aƙalla	LHL
aƙida	LHL
al'ada	LHL
al'ajabi	LHLH
al'amari	LHLH
al'umma	LHL
alabe	LHL
alabo	LLH
alade	LHL
alama	LHL
alamci	HHL
alaramma	HLHL
alatu	HHL
alawa	LHL
albaras	LHL
albarka	LHL
albarushi	LLHL
albasa	LHL
albashi	LFH
albishir	LHL
alfadari	LHHH
alfahari	LHLH
alfijir	LHL
algashi	HLH
alhaji	LHH
alhaki	LHH
alhali	LHH
alhamdulillahi	LHLLHL
alhamis	LLF
alhanzir	LLF
alheri	LHL
alhudahuda	LHLHL
ali	LH
alif	HL
aljabara	LHHL
aljan	LH
aljani	LHH
aljanna	LHL
alkadari	LHLH
alkali	LHH
alkama	LHL
alkarya	LHL
alkawari	LHLH
alkyabba	LHL
alƙahira	LHLH
alƙalami	LHLH
alƙali	LHH
alƙur'ani	LLHL
allah	HL
allura	LHL
almajiranci	HHHHL
almajiri	LHLH
almakashi	LHLH
almasihu	LLHL
altine	LLH
alwala	LLH
amalanke	HHHH
amale	HHL
amana	LHL
amarya	HHH
amawali	HHLH
ambaliya	HLHL
amfani	LLH
amin	LH
amina	HHL
amini	LHL
amirka	HLL
amma	LH
amo	HH
amsa	HL
amurka	HLL
anabi	HLH
anaca	LLL
ango	HL
anini	LHH
ankara	HLL
annabi	LHL
annoba	LLH
annuri	LHL
anta	HL
ar	H
arabiyya	LLHL
aradu	LHL
arba'in	LLH
arewa	HLH
arziki	HLH
asabar	LHL
asabari	HHLH
asabe	LLH
asali	HHH
asara	LHL
asawaki	LHLH
asham	HH
ashana	LHH
ashirin	LLH
asibiti	HLHL
asiri	LHH
asiya	HHL
aske	HL
asuba	LLF
asubahi	LLHL
attajiri	LHLH
awa	HL
awaza	LHL
aya	HL
ayaba	LLL
ayari	HLH
ayu	LH
azaba	LHL
azahar	LHL
azahariyya	LLLHL
azumi	HLH
azurfa	HLH
azzakari	LHLH
ba'askare	LHHL
baba	LH
babba	LH
babi	HL
babur	LH
bado	HL
badun	LL
baffa	HL
bafilatani	LHHLH
bafillace	LHHL
bagadaza	LLHL
bagwari	LHH
bahar	HL
bahasi	HLH
bahili	LHL
baho	HL
bajo	HL
baki	LH
baƙi	HH
baƙo	LH
bal	F
bala'i	LHL
balaraba	LHHL
balarabe	LHHL
balas	HL
bana	HH
banda	LH
banga	LH
bangaskiya	HHHH
bango	HH
bappa	HL
bara	LH
bararo	LLH
barbarci	HHH
barewa	LHH
bargo	LH
barka	HL
barkono	LLH
barno	LH
bas	F
basakkwace	LHHL
basasa	HHL
basukur	HHL
batir	HL
batta	HL
bature	LHL
bawa	HL
baya	HH
bayan	HH
bayani	LHL
bedi	HL
bel	H
bello	HL
bici	HL
bidi'a	HHL
bif	F
bika	LH
bil	F
bincike	LLH
bindi	HL
bindiga	HHL
bini	LH
binta	HL
birgediya	LHHL
birjik	LH
birni	HH
birtaniya	LHHL
bisa	HH
bishiya	HHL
bisimilla	LHHL
bisimillahi	LHLHL
biyar	LH
