ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᎤᏁᏢᏔᏅᎡ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.	hia koweli kʰanoheha unet͡ɬə̃tʰanə̃e t͡sisa kalonetə̃ , tewi uwet͡si , ekʷahami uwet͡si .
ᎡᎵᎻᏃ ᎡᎻᏂᏓᏡ ᎤᏕᏁᎳᎢ; ᎡᎻᏂᏓᏡᏃ ᎾᏐᏂ ᎤᏕᏁᎳᎢ; ᎾᏐᏂᏃ ᏌᎵᏑ ᎤᏕᏁᎴᎢ;	elimino eminitat͡ɬu utenelai , eminitat͡ɬuno nasoni utenelai , nasonino salisu utenelei ,
ᏐᎵᏑᏅᏃ ᎶᏉᏑ ᎤᏕᏁᎳᎢ; ᎶᏉᏑᏃ ᎡᏆᏯ ᎤᏕᏁᎳᎢ; ᎡᏆᏯᏃ ᎡᏏ ᎤᏕᏁᎳᎢ;	solisunə̃no lokʷosu utenelai , lokʷosuno ekʷaja utenelai , ekʷajano esi utenelai ,
ᏦᏌᏯᏃ ᏤᎪᎾᏯ ᎠᎴ ᎠᎾᏓᏅᏟ ᎬᏩᏕᏁᎳᎢ; ᎾᎯᏳ ᏓᏗᎶᏂ ᎯᏫᏗᎨᎦᏘᏅᏍᏔᏁᎢ;	t͡sosajano t͡sekonaja ale anatanə̃t͡ɬi kə̃watenelai , nahiju tatiloni hiwitikekatʰinə̃stʰanei ,
ᎢᎳᏯᏗᏃ ᎢᎵᎡᏌ ᎤᏕᏁᎳᎢ; ᎢᎳᎡᏌᏃ ᏑᏓᏂ ᎤᏕᏁᎴᎢ; ᏑᏓᏂᏃ ᏤᎦᏡ ᎤᏕᏁᎴᎢ;	ilajatino iliesa utenelai , ilaesano sutani utenelei , sutanino t͡sekat͡ɬu utenelei ,
ᎾᏍᎩᏃ ᎯᎠ ᏄᎵᏍᏔᏂᏙᎴ ᎤᏕᏅ ᏥᏌ ᎦᎶᏁᏛ. ᎾᏍᎩ ᎺᎵ ᏥᏌ ᎤᏥ ᏦᏩ ᎤᏓᎸᏍᏗ, ᎠᏏᏉ ᏂᏓᎾᏤᎬᎾ ᎨᏎᎢ, ᎤᏁᎵᏤ ᎦᎸᏉᏗᏳ ᎠᏓᏅᏙ ᎤᏓᏅᏖᎸᎯ.	naskino hia nulistʰanitole utenə̃ t͡sisa kalonetə̃ . naski meli t͡sisa ut͡si t͡sowa utalə̃sti , asikʷo nitanat͡sekə̃na kesei , unelit͡se kalə̃kʷotiju atanə̃to utanə̃tʰelə̃hi .
ᎠᎴ ᏓᎦᎾᏄᎪᏫᏏ ᎠᏧᏣ, ᎾᏍᎩᏃ ᏥᏌ ᏕᎯᏲᎢᎭ, ᏧᏤᎵᏰᏃ ᏴᏫ ᏙᏛᏍᏕᎸᎯ ᏙᏓᏧᏓᎴᏏ ᎤᏂᏍᎦᏅᏨᎢ.	ale takananukowisi at͡sut͡sa , naskino t͡sisa tehijoiha , t͡sut͡selijeno jə̃wi totə̃stelə̃hi totat͡sutalesi uniskanə̃t͡sə̃i .
ᏦᏩᏃ ᎤᏰᏦ ᎤᎸᎤᎢ ᏗᎧᎿᏩᏗᏙᎯ ᏱᎰᏩ ᎤᏓᏳᎤᏏᏛ ᏄᏪᏎᎸ ᏄᏛᏁᎴᎢ, ᎤᏯᏅᎮᏉ ᎤᏓᏴᏍᏗ.	t͡sowano ujet͡so ulə̃ui tikʰahnawatitohi jihowa utajuusitə̃ nuweselə̃ nutə̃nelei , ujanə̃hekʷo utajə̃sti .
ᎯᎠ ᏄᏂᏪᏎᎢ; ᎭᏢ Ꮎ ᏧᏕᏅ ᎤᎬᏫᏳᎯ ᎠᏂᏧᏏ ᎤᎾᏤᎵᎦ, ᎣᎩᎪᎲᏰᏃ ᎤᏤᎵ ᏃᏈᏏ ᏗᎧᎸᎬ ᎢᏗᏢ, ᎠᎴ ᎤᏣᏓᏙᎵᏍᏓᏁᎵᎦ.	hia nuniwesei , hat͡ɬə̃ na t͡sutenə̃ ukə̃wijuhi anit͡susi unat͡selika , okikohə̃jeno ut͡seli nokʷisi tikʰalə̃kə̃ itit͡ɬə̃ , ale ut͡satatolistanelika .
ᎯᎠᏃ ᏥᎬᏩᏪᏌᎴᎢ; ᏧᏗᏱ ᎦᏚᏱ ᎦᏚᎲᎢ; ᎠᏓᏰᏃ ᏄᏩᏅ ᎤᏬᏪᎳ ᎠᏙᎴᎰᏍᎩ;	hiano t͡sikə̃wawesalei , t͡sutiji katuji katuhə̃i , atajeno nuwanə̃ uwowela atolehoski ,
ᎠᎴ ᏚᏅᏎ ᎦᏚᏱ, ᎯᎠ ᏄᏪᏎᎢ; ᎢᏤᎾ ᎣᏍᏛ ᏪᏥᏲᎦ ᎾᏍᎩ ᎤᏍᏗ ᎠᏲᎵ, ᎢᏳᏃ ᎡᏥᏩᎲᎭ, ᎢᏍᎩᏃᏁᎵᎸᎭ, ᎠᏴᏃ ᎾᏍᏉ ᎾᏥᎷᏨᎭ, ᎠᎴ ᏥᏯᏓᏙᎵᏍᏓᏁᎸᎭ.	ale tunə̃se katuji , hia nuwesei , it͡sena ostə̃ wet͡sijoka naski usti ajoli , ijuno et͡siwahə̃ha , iskinonelilə̃ha , ajə̃no naskʷo nat͡silut͡sə̃ha , ale t͡sijatatolistanelə̃ha .
ᎠᎾᏍᎩᏓᏍᎬᏃ ᎤᏁᎳᏅᎯ ᏚᏁᏤᎸ ᎡᎶᏛᏱ ᏭᏂᎶᎯᏍᏗᏱ ᏂᎨᏒᎾ, ᎤᎾᏂᎩᏒ ᎤᏣᏘᏂᏉ ᎢᏗᏢ ᏭᏂᎶᏎ ᎢᎤᏁᏅ ᎤᎾᏤᎵᎪᎯ.	anaskitaskə̃no unelanə̃hi tunet͡selə̃ elotə̃ji wunilohistiji nikesə̃na , unanikisə̃ ut͡satʰinikʷo itit͡ɬə̃ wunilose iunenə̃ unat͡selikohi .
ᎠᎴ ᎾᎿ ᏪᎮ ᎬᏂ ᎡᎶᏛ ᎤᏲᎱᏒ; ᎤᏙᎯᏳᏁ ᎤᏁᎳᏅᎯ ᎤᏁᏨᎢ, ᎠᏙᎴᎨᏍᎩ ᏓᏮᏔᏁᎢ, ᎯᎠ ᏥᏄᏪᏎᎢ; ᎢᏥᏈᏱ ᏫᏥᏯᏅᎲ ᎠᏇᏥ.	ale nahna wehe kə̃ni elotə̃ ujohusə̃ , utohijune unelanə̃hi unet͡sə̃i , atolekeski tawə̃tʰanei , hia t͡sinuwesei , it͡sikʷiji wit͡sijanə̃hə̃ akʷet͡si .
ᎯᎠ ᏄᏪᏎᎳᎢ; ᏔᎴᎲᎦ ᎠᎴ ᎭᏘᏄᎦ ᎠᏲᎵ ᎠᎴ ᎤᏥ, ᎠᎴ ᎮᎾ ᎢᏏᎵᏱ, ᎿᏉᏰᏃ ᏚᏂᏲᎱᏒ ᎠᏲᎵ ᎬᏅ ᏧᏂᏲᎲᎩ.	hia nuweselai , tʰalehə̃ka ale hatʰinuka ajoli ale ut͡si , ale hena isiliji , hnakʷojeno tunijohusə̃ ajoli kə̃nə̃ t͡sunijohə̃ki .
