’परती टूटि रहल अछि’ - मैथिली कविता सङ्ग्रह - १९९३	pˈəɾt̪iː ʈˈuːʈɪ ɾˈəɦəl ˈət͡ʃʰɪ mˈəɪt̪ʰɪliː kˈəʋɪt̪aː sˈəŋɡɾəɦ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t̪ɪɾˈaːnʋe
हमर चुटकी पर ओ एना प्रतिक्रिया देलथिन जे मानू हमरा हुनकर बात बुझबाक योग्यते नहि अछि.	ɦˈəməɾ t͡ʃˈʊʈkiː pˈəɾ ˈo ˈenaː pɾət̪ˈɪkɾɪjaː d̪ˈelt̪ʰɪn d͡ʒˈe mˈaːnuː ɦˈəmɾaː ɦˈʊnkəɾ bˈaːt̪ bʊd͡ʒʱbˈaːk jˈoɡjət̪e nˈəɦɪ ˈət͡ʃʰɪ .
- चित्र वंशक राजासभक चितवनमे राज्य करैसँ चितवन नामाकरण कएल गेल कहिक सेहो किम्बदन्ती रहल अछि।	t͡ʃˈɪt̪ɾ ʋˈə̃ʃək ɾaːd͡ʒˈaːsbʱək t͡ʃɪt̪ʋˈənme ɾˈaːd͡ʒj kˈəɾəɪsə̃ t͡ʃˈɪt̪ʋən naːmˈaːkɾəɳ kˈəel ɡˈel kˈəɦɪk sˈeɦo kɪmbəd̪ˈənt̪iː ɾˈəɦəl ˈət͡ʃʰɪ .
अन्य उपशाखासभ छी सौन्दर्यशास्त्र, भाषा दर्शन, मन दर्शन, धर्म दर्शन, विज्ञान दर्शन, गणित दर्शन, इतिहास दर्शन आ राजनीतिक दर्शन। प्रत्येक शाखाक भीतर विभिन्न दार्शनिक परम्परासभ अछि, जे अलग-अलग सिद्धान्त, विचार वा पद्धतिसभक समर्थन करैत अछि।	ˈənj ʊpʃaːkʰˈaːsəbʱ t͡ʃʰˈiː səʊnd̪əɾjəʃˈaːst̪ɾ , bʱˈaːʂaː d̪ˈəɾʃən , mˈən d̪ˈəɾʃən , d̪ʱˈəɾm d̪ˈəɾʃən , ʋɪd͡ʒɲˈaːn d̪ˈəɾʃən , ɡˈəɳɪt̪ d̪ˈəɾʃən , ɪt̪ɪɦˈaːs d̪ˈəɾʃən ˈaː ɾˈaːd͡ʒniːt̪ɪk d̪ˈəɾʃən . pɾˈət̪jek ʃaːkʰˈaːk bʱˈiːt̪əɾ ʋˈɪbʱɪnː d̪ˈaːɾʃənɪk pəɾəmpəɾˈaːsəbʱ ˈət͡ʃʰɪ , d͡ʒˈe ˈələɡ ˈələɡ sɪd̪ʱːˈaːnt̪ , ʋɪt͡ʃˈaːɾ ʋˈaː pəd̪ʱːət̪ˈɪsbʱək səmˈəɾt̪ʰən kˈəɾəɪt̪ ˈət͡ʃʰɪ .
बलिया जिला (, ) भारतक उत्तर प्रदेश राज्यमे एकटा जिला छि। ई जिला उत्तर प्रदेशक सभसँ पूर्वी जिला अछि । जिलाक मुख्यालय बलियाँ सहर छी ।	bˈəlɪjaː d͡ʒˈɪlaː , bʱˈaːɾt̪ək ˈʊt̪ːəɾ pɾˈəd̪eʃ ɾˈaːd͡ʒjəme ˈekʈaː d͡ʒˈɪlaː t͡ʃʰˈɪ . ˈiː d͡ʒˈɪlaː ˈʊt̪ːəɾ pɾˈəd̪eʃək sˈəbʱsə̃ pˈuːɾʋiː d͡ʒˈɪlaː ˈət͡ʃʰɪ . d͡ʒɪlˈaːk mʊkʰjˈaːləj bˈəlɪjaː̃ sˈəɦəɾ t͡ʃʰˈiː .
इनके अतिरिक्‍त अभिनन्‍दन ग्रन्‍थ, पाठ्यग्रन्‍थ (प्राथमिक वर्ग सेस्‍नाताकोत्तर), समीक्षाग्रन्‍थ, काव्‍यग्रन्‍थ, पत्र-पत्रिका एवं स्‍मारिकाओंमें लगभग चार सो शोध निबन्‍ध कविताएं,लेख आदि प्रकाशित। पचहत्तर से अधिक पुस्‍तकोंमें भूमिका अथवा सम्‍मति।	ˈɪnke ˈət̪ɪɾɪk t̪ˈə ˈəbʱɪnən d̪ˈən ɡɾˈən t̪ʰˈə , pˈaːʈʰjəɡɾən t̪ʰˈə pɾˈaːt̪ʰmɪk ʋˈəɾɡ sˈes naːt̪ˈaːkot̪ːəɾ , səmiːkʂˈaːɡɾən t̪ʰˈə , kˈaːʋ jˈəɡɾən t̪ʰˈə , pˈət̪ɾ pˈət̪ɾɪkaː ˈeʋə̃ s maːɾɪkaːˈõmẽ lˈəɡbʱəɡ t͡ʃˈaːɾ sˈo ʃˈod̪ʱ nˈɪbən d̪ʱˈə kəʋɪt̪ˈaːẽ , lˈekʰ ˈaːd̪ɪ pɾəkˈaːʃɪt̪ . pˈət͡ʃɦət̪ːəɾ sˈe ˈəd̪ʱɪk pˈʊs t̪əkˈõmẽ bʱˈuːmɪkaː ˈət̪ʰʋaː sˈəm mˈət̪ɪ .
नृविज्ञान एक विश्वव्यापी अनुशासन छी , जाहिमे मानविकी, सामाजिक आ प्राकृतिक विज्ञानकें एक दोसरकें सामना करैक लेल मजबूर कएल जाइत अछि । मानव विज्ञान, प्राकृतिक विज्ञानकें समेत मनुष्य उत्पत्ति, मानव शारीरिक लक्षण, मानव शरीरमे बदलाव, मनुष्य प्रजातिसभमे आयल बदलावसभ इत्यादिसँ ज्ञानक रचना करैत अछि ।	nɾɪʋɪd͡ʒɲˈaːn ˈek ʋɪʃʋəʋjˈaːpiː ənʊʃˈaːsən t͡ʃʰˈiː , d͡ʒˈaːɦɪme mˈaːnʋɪkiː , saːmˈaːd͡ʒɪk ˈaː pɾˈaːkɾɪt̪ɪk ʋɪd͡ʒɲˈaːnkẽ ˈek d̪osˈəɾkẽ sˈaːmnaː kˈəɾəɪk lˈel məd͡ʒbˈuːɾ kˈəel d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ . mˈaːnəʋ ʋɪd͡ʒɲˈaːn , pɾˈaːkɾɪt̪ɪk ʋɪd͡ʒɲˈaːnkẽ sˈəmet̪ mənˈʊʂj ˈʊt̪pət̪ːɪ , mˈaːnəʋ ʃaːɾˈiːɾɪk lˈəkʂəɳ , mˈaːnəʋ ʃəɾˈiːɾme bəd̪lˈaːʋ , mənˈʊʂj pɾəd͡ʒaːt̪ɪsˈəbʱme ˈaːjəl bəd̪lˈaːʋsəbʱ ɪt̪jˈaːd̪ɪsə̃ d͡ʒɲˈaːnək ɾˈət͡ʃnaː kˈəɾəɪt̪ ˈət͡ʃʰɪ .
गाम तरौनी। काशी मिथिला ग्रन्थमालाक सम्पादक,वर्षकृत्य आ आन मिथिला परम्परानुसार ग्रन्थक सम्पादन ।	ɡˈaːm t̪ˈəɾəʊniː . kˈaːʃiː mˈɪt̪ʰɪlaː ɡɾənt̪ʰəmaːlˈaːk səmpˈaːd̪ək , ʋəɾʂəkɾˈɪt̪j ˈaː ˈaːn mˈɪt̪ʰɪlaː pəɾəmpəɾaːnʊsˈaːɾ ɡɾˈənt̪ʰək səmpˈaːd̪ən .
सुदूर-पश्चिमाञ्चल विकास क्षेत्र २ अञ्चल आर ९ जिलासभ मे वर्गिकरण कएल गेल अछि ।	sʊd̪ˈuːɾ pəʃt͡ʃɪmˈaːɲt͡ʃəl ʋɪkˈaːs kʂˈet̪ɾ d̪ˈo ˈəɲt͡ʃəl ˈaːɾ nˈəʊ d͡ʒɪlˈaːsəbʱ mˈe ʋəɾɡˈɪkɾəɳ kˈəel ɡˈel ˈət͡ʃʰɪ .
गेंदा फूल नेपालके प्रसिद्ध फूल छि। यी फूलके प्रयोग १७ औं शताब्दी से मात्र भेल अछि से मानल जाइत अछि।	ɡˈẽn̪d̪aː pʰˈuːl nepˈaːlke pɾˈəsɪd̪ʱː pʰˈuːl t͡ʃʰˈɪ . jˈiː pʰˈuːlke pɾˈəjoɡ sˈət̪ɾəɦ ˈəʊ̃ ʃət̪ˈaːbd̪iː sˈe mˈaːt̪ɾ bʱˈel ˈət͡ʃʰɪ sˈe mˈaːnəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ .
दाना नेपालके पश्चिमाञ्चल विकास क्षेत्र धवलागिरी अञ्चलके म्याग्दी जिलामें अवस्थित एक गाउँ विकास समिति छी।	d̪ˈaːnaː nepˈaːlke pəʃt͡ʃɪmˈaːɲt͡ʃəl ʋɪkˈaːs kʂˈet̪ɾ d̪ʱəʋlˈaːɡɪɾiː əɲt͡ʃˈəlke mjˈaːɡd̪iː d͡ʒɪlˈaːmẽ əʋˈəst̪ʰɪt̪ ˈek ɡˈaːʊ̃ ʋɪkˈaːs sˈəmɪt̪ɪ t͡ʃʰˈiː .
