Lenane le feletseng la Wikipedia dikgatiso&nbsp;·	lɛnɑnɛ lɛ fɛlɛt͡sʼɛŋ lɑ wikʼipʼɛdiɑ dikχɑtʼisɔ
bar:1800 at: 63400 text: 63400 shift:(0)	bɑr , sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi ɑtʼ , dikʼɛtʼɛ mɑʃɔmɛ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ lɛ mɑkχɔlɔ ɑ mɑnɛ tʼɛkstʼ , dikʼɛtʼɛ mɑʃɔmɛ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ lɛ mɑkχɔlɔ ɑ mɑnɛ ʃiftʼ , lɛfɛɛlɑ
linaha: Amerika, Europe, Asia, Afrika, Oceania le Antarctica	linɑɦɑ , ɑmɛrikʼɑ , ɛurɔpʼɛ , ɑsiɑ , ɑfrikʼɑ , ɔkɛɑniɑ lɛ ɑntʼɑrktʼikɑ
17 351 708, ho ya ka di tekanyetso tsa palo ya batho tsa selemo sa (2018).	dimiliɔnɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ supʼilɛŋ lɛ dikʼɛtʼɛ mɑkχɔlɔ ɑ mɑrɑrɔ lɛ mɑʃɔmɛ ɑ mɑɬɑnɔ lɛ mɔt͡sʼɔ ɔ lɛ mɔŋ lɛ mɑkχɔlɔ ɑ supʼilɛŋ lɛ mɛt͡sʼɔ ɛ rɔbɛdi , ɦɔ jɑ kʼɑ di tʼɛkʼɑɲɛt͡sʼɔ t͡sʼɑ pʼɑlɔ jɑ bɑtʰɔ t͡sʼɑ sɛlɛmɔ sɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɛdi .
Monteath Thompson, Leonard (1975) Survival in two worlds: Moshoeshoe of Lesotho, 1786-1870, Michigan:Clarendon Press	mɔntʼɛɑtʰ tʰɔmpʼsɔn , lɛɔnɑrd sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ supʼilɛŋ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ survivɑl in tʼwɔ wɔrlds , mɔʃɔɛʃɔɛ ɔf lɛsɔtʰɔ , sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ supʼilɛŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ ɦɔ isɑ ɦɔ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ supʼilɛŋ , mikɦixɑn , klɑrɛndɔn pʼrɛss
Morena Seeiso da Basutolândia ebile morena wa Basutoland hotloha ka selemo sa Phupu 1939 hofihlela 26 Tšitoe 1940.	mɔrɛnɑ sɛɛisɔ dɑ bɑsutʼɔlɑndiɑ ɛbilɛ mɔrɛnɑ wɑ bɑsutʼɔlɑnd ɦɔt͡ɬʼɔɦɑ kʼɑ sɛlɛmɔ sɑ pʰupʼu sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ mɑrɑrɔ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ ɦɔfiɬɛlɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ t͡ʃʼitʼɔɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ mɑnɛ .
Puo ena ke e nngwe ya dipuo tsa semmuso naheng ya Afrika Borwa, e tsejwa le di naheng tsa boahisane le lefatshe ka bophara. Puo ena e buuwa me bileng ebile rutwa le dikolong.	pʼuɔ ɛnɑ kʼɛ ɛ nŋwɛ jɑ dipʼuɔ t͡sʼɑ sɛmmusɔ nɑɦɛŋ jɑ ɑfrikʼɑ bɔrwɑ , ɛ t͡sʼɛd͡ʒwɑ lɛ di nɑɦɛŋ t͡sʼɑ bɔɑɦisɑnɛ lɛ lɛfɑt͡sʰɛ kʼɑ bɔpʰɑrɑ . pʼuɔ ɛnɑ ɛ buuwɑ mɛ bilɛŋ ɛbilɛ rutʼwɑ lɛ dikʼɔlɔŋ .
bar:1955 at: 674172 text: 674.172 shift:(-18,5)	bɑr , sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ mɑɬɑnɔ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ ɑtʼ , dikʼɛtʼɛ mɑkχɔlɔ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɑʃɔmɛ ɑ supʼilɛŋ lɛ mɛt͡sʼɔ ɛ mɛnɛ lɛ lɛkχɔlɔ lɛ mɑʃɔmɛ ɑ supʼilɛŋ lɛ mɛt͡sʼɔ ɛ mmɛdi tʼɛkstʼ , dikʼɛtʼɛ mɑkχɔlɔ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɑʃɔmɛ ɑ supʼilɛŋ lɛ mɛt͡sʼɔ ɛ mɛnɛ lɛ lɛkχɔlɔ lɛ mɑʃɔmɛ ɑ supʼilɛŋ lɛ mɛt͡sʼɔ ɛ mmɛdi ʃiftʼ , lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɛdi ɬɑnɔ
ScaleMajor = unit:year increment:600000 start:0 gridcolor:gray1	skɑlɛmɑd͡ʒɔr unitʼ , jɛɑr inkrɛmɛntʼ , dikʼɛtʼɛ mɑkχɔlɔ ɑ t͡sʰɛlɛt͡sʼɛŋ stʼɑrtʼ , lɛfɛɛlɑ xridkɔlɔr , xrɑj nŋwɛ
Masepala wa Elundini ke motse o fumanehang ka hare ho masepala wa Joe Gqabi District Municipality o profenseng ya Kapa Botjhabela naheng ya Afrika Borwa.	mɑsɛpʼɑlɑ wɑ ɛlundini kʼɛ mɔt͡sʼɛ ɔ fumɑnɛɦɑŋ kʼɑ ɦɑrɛ ɦɔ mɑsɛpʼɑlɑ wɑ d͡ʒɔɛ x!ɑbi distʼriktʼ munikipʼɑlitʼj ɔ pʼrɔfɛnsɛŋ jɑ kʼɑpʼɑ bɔt͡ʃʼɦɑbɛlɑ nɑɦɛŋ jɑ ɑfrikʼɑ bɔrwɑ .
Somerset East ke motse-moholo oa Masepala oa Blue Crane Route, leboya la provense Kapa Botjhabela ka moka Afrika Borwa.	sɔmɛrsɛtʼ ɛɑstʼ kʼɛ mɔt͡sʼɛ mɔɦɔlɔ ɔɑ mɑsɛpʼɑlɑ ɔɑ bluɛ krɑnɛ rɔutʼɛ , lɛbɔjɑ lɑ pʼrɔvɛnsɛ kʼɑpʼɑ bɔt͡ʃʼɦɑbɛlɑ kʼɑ mɔkʼɑ ɑfrikʼɑ bɔrwɑ .
