U Rwanda ni igihugu giherereye muri Afurika y'uburengerazuba, mu karere k’ibiyaga bigari. Umurwa mukuru akaba ari Kigali.	u ɾwanda ni iɡihuɡu ɡiheɾeɾeje muɾi afuɾika j ubuɾeŋeɾazuba , mu kaɾeɾe k ibijaɡa biɡaɾi . umuɾwa mukuɾu akaba aɾi kiɡali .
tweede ADJ. wa kabiri; ba kabiri; ya kabiri; rya kabiri; cya kabiri; bya kabiri; za kabiri; rwa kabiri; ka kabiri; twa kabiri; bwa kabiri; kwa kabiri; ha kabiri	tweːde adʒ . wa kabiɾi , ba kabiɾi , ja kabiɾi , ɾʲa kabiɾi , kʲa kabiɾi , bʲa kabiɾi , za kabiɾi , ɾwa kabiɾi , ka kabiɾi , twa kabiɾi , bwa kabiɾi , kwa kabiɾi , ha kabiɾi
The following inama nyunguranabitekerezo have been proposed as of 15 Gicurasi 2008, according to the Workshop pagenyunguranabitekerezo_08/wrkshplist.php. These proposals will be reviewed, an attempt will be made to merge propositions into a manageable number of inama nyunguranabitekerezo.	the followiŋ inama ɲuŋuɾanabitekeɾezo have beːn pɾoposed as of it͡ʃumi na ɡatanu ɡit͡ʃuɾasi ibihumbi bibiɾi na umunani , at͡ʃt͡ʃoɾdiŋ to the woɾkʃop paɡeɲuŋuɾanabitekeɾezo umunani wɾkʃplist . php . these pɾoposals will be ɾeviewed , an attempt will be made to meɾɡe pɾopositions into a manaɡeable numbeɾ of inama ɲuŋuɾanabitekeɾezo .
Coupez André et alii, 2006 Inkoranya y íkinyarwaanda mu kinyarwaanda nó mu gifaraansá = Dictionnaire Rwanda-Rwanda et Rwanda-Français, Institut de la Recherche Scientifique et Technologique (Butare, Rwanda) et Musée Royal de l'Afrique Centrale (Belgique).	t͡ʃoupez andɾe et aliː , ibihumbi bibiɾi na ɡatandatu inkoɾaɲa j ikiɲaɾwaːnda mu kiɲaɾwaːnda no mu ɡifaɾaːnsa dit͡ʃtionnaiɾe ɾwanda ɾwanda et ɾwanda fɾant͡ʃais , institut de la ɾet͡ʃheɾt͡ʃhe st͡ʃientifikue et tet͡ʃhnoloɡikue butaɾe , ɾwanda et museː ɾojal de l afɾikue t͡ʃentɾale belɡikue .
BNEP Ibiro by’Igihugu by’imyigishirize y’Abaporotesitanti mu Rwanda (Bureau National de l’Enseignement Protestant).	bnep ibiɾo bʲ iɡihuɡu bʲ imʲiɡiʃiɾize j abapoɾotesitanti mu ɾwanda buɾeau national de l enseiɡnement pɾotestant .
Muri abo baturage, 16.589 bari batuye mu cyaro, naho 14.437 batuye mu gice cy’umujyi. Abari munsi y’imyaka 15 bari 11.640, abafite hagati y’imyaka 15 na 64 bari 18.732, naho abafite imyaka 65 cyangwa irenga bari 654.	muɾi abo batuɾaɡe , ibihumbi it͡ʃumi na ɡatandatu na maɡana atanu na miɾoŋo inani na ikʲenda baɾi batuje mu kʲaɾo , naho ibihumbi it͡ʃumi na kane na maɡana ane na miɾoŋo itatu na kaɾindwi batuje mu ɡit͡ʃe kʲ umuɡʲi . abaɾi munsi j imʲaka it͡ʃumi na ɡatanu baɾi ibihumbi it͡ʃumi na ɾimwe na maɡana atandatu na miɾoŋo ine , abafite haɡati j imʲaka it͡ʃumi na ɡatanu na miɾoŋo itandatu na kane baɾi ibihumbi it͡ʃumi na umunani na maɡana aɾindwi na miɾoŋo itatu na kabiɾi , naho abafite imʲaka miɾoŋo itandatu na ɡatanu kʲaŋwa iɾeŋa baɾi maɡana atandatu na miɾoŋo itanu na kane .
Afurika y'Epfo ni cyo gihugu gifite ibikorwaremezo by'ubwikorezi binini kandi biteye imbere kurusha ibindi muri Afurika. Ifite urusobe ruhujwe rw'imihanda, gari ya moshi, ibibuga by'indege, ibyambu n'imiyoboro itwara ibikomoka kuri peteroli na gaz.	afuɾika j epfo ni kʲo ɡihuɡu ɡifite ibikoɾwaɾemezo bʲ ubwikoɾezi binini kandi biteje imbeɾe kuɾuʃa ibindi muɾi afuɾika . ifite uɾusobe ɾuhuʒwe ɾw imihanda , ɡaɾi ja moʃi , ibibuɡa bʲ indeɡe , ibʲambu n imijoboɾo itwaɾa ibikomoka kuɾi peteɾoli na ɡaz .
Walisi na Fatuna (izina mu gifaransa : Wallis et Futuna cyangwa Territoire des îles Wallis et Futuna) n’igihugu muri Oseyaniya. Umurwa mukuru wa Walisi na Fatuna witwa Mata-Utu.	walisi na fatuna izina mu ɡifaɾansa , wallis et futuna kʲaŋwa teɾɾitoiɾe des iles wallis et futuna n iɡihuɡu muɾi osejanija . umuɾwa mukuɾu wa walisi na fatuna witwa mata utu .
Uretse ku byiza by’ikinyabupfura kuva kuri gahunda y’urubanza, Bimabet , amajwi y’umuyaga ndetse n’ubujura bw’ibibazo bigerwaho imbere y’abaturage. Ni muri Jakata twifuzaga kuba hari igihe kemeka ku izina ry’amazi, uruhinja rubi, ndetse hari abantu benshi baba basa n’abaturage nibo babura mu mujyi wabo. Muri Jakata hari inda zikomeye ndetse n’indirimbo zitwara muri ako karere.	uɾetse ku bʲiza bʲ ikiɲabupfuɾa kuva kuɾi ɡahunda j uɾubanza , bimabet , amaʒwi j umujaɡa ndetse n ubuʒuɾa bw ibibazo biɡeɾwaho imbeɾe j abatuɾaɡe . ni muɾi ʒakata twifuzaɡa kuba haɾi iɡihe kemeka ku izina ɾʲ amazi , uɾuhinʒa ɾubi , ndetse haɾi abantu benʃi baba basa n abatuɾaɡe nibo babuɾa mu muɡʲi wabo . muɾi ʒakata haɾi inda zikomeje ndetse n indiɾimbo zitwaɾa muɾi ako kaɾeɾe .
Dean Corll &ndash; umubare w'abo yishe: 27	dean t͡ʃoɾll umubaɾe w abo jiʃe , makumʲabiɾi na kaɾindwi
Hovoríte po anglicky ? – Uvuga icyongereza?	hovoɾite po aŋlit͡ʃkʲ ? uvuɡa ikʲoŋeɾeza ?
Intara ya Diyarbakır (izina mu giturukiya : Diyarbakır ili) n’intara muri Turukiya. Umurwa mukuru w’intara ya Diyarbakır witwa umujyi wa Diyarbakır. Abaturage 1,051,511 .	intaɾa ja dijaɾbakiɾ izina mu ɡituɾukija , dijaɾbakiɾ ili n intaɾa muɾi tuɾukija . umuɾwa mukuɾu w intaɾa ja dijaɾbakiɾ witwa umuɡʲi wa dijaɾbakiɾ . abatuɾaɡe miɾijoni na ibihumbi miɾoŋo itanu na ɾimwe na maɡana atanu na it͡ʃumi na ɾimwe .
