لم يبدُ لي ذلك منطقياً؛ بالتأكيد لم يكن عادلاً.	lˈam jˈabd lˈiː ðˈalik mantˤiɡˈijːaː , bitːaʔkˈiːd lˈam jˈakun ʕaːdˈilaː .
يجب أن تدرك النساء أن الاختلافات الثقافية قد تؤدي إلى ما قد يعتبرونه تحرشاً وأنه من المعتاد ترصدهم، والإمساك بهم من خلال الذراع، إلخ.	jˈaʒib ʔˈan tˈudrak anːisˈaːʔ ʔˈan alaːχtilaːfˈaːt aθːaɡaːfˈijːa ɡˈad tuʔˈadːiː ʔlˈaː mˈaː ɡˈad jaʕtabirˈuːnah taħarːˈuʃaː waʔˈanːah mˈin almuʕtˈaːd tarasˤːudˈihim , walʔimsˈaːk bˈihim mˈin χilˈaːl aðːirˈaːʕ , ʔlˈaχ .
رُبما يكون الشتاء بارداً بشكل مخادع: نادراً ما تنخفض درجات الحرارة إلى ما دون درجة التجمد، لكن الرياح والرطوبة تجتمعان لتجعل الجو أكثر برودة مما يُشير مقياس الحرارة.	rubːˈamaː jakˈuːn aʃːitˈaːʔ baːrˈidaː biʃˈakl maχˈaːdiʕ , naːdˈiraː mˈaː tanχˈafidˤ daraʒˈaːt alħarˈaːra ʔlˈaː mˈaː dˈuːn dˈaraʒa atːaʒˈamːud , lˈakin arːijˈaːħ warːutˤˈuːba taʒtamiʕˈaːn litˈaʒʕal alʒˈoː ʔˈakθar burˈuːda mˈimːaː juʃˈiːr miɡjˈaːs alħarˈaːra .
تدعم الولايات المتحدة للجمباز رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة للأسرة الأولمبية لتعزيز بيئةٍ آمنةٍ لجميعِ الرياضيين لدينا.	tudˈaʕːim alwilaːjˈaːt almutːˈaħida lilʒumbˈaːz risˈaːla alːˈaʒna alʔuːlumbˈijːa alʔamriːkˈijːa watˈuɡbal alħˈaːʒa almutˤlˈaɡa lilʔˈusra alʔuːlumbˈijːa litaʕzˈiːz bˈiːʔa ʔˈaːmina liʒamˈiːʕ arːijaːdˤijːˈiːn ladˈeːnaː .
أولاً، يرتدي معظم الخيالين أحذية ركوب الخيل ذات الكعب والنعل الناعم الضيق للغاية.	ʔoːˈalaː , jartˈadiː mˈuʕðˤam alχajaːlˈiːn ʔaħðˈija rukˈuːb alχˈeːl ðˈaːt alkˈaʕb wanːˈaʕl anːˈaːʕim adˤːˈiːɡ lilɣˈaːja .
تتكون عائلة الأسود من واحد إلى ثلاثة ذكور بالغين، بالإضافة إلى ما يصل إلى ثلاثين أنثى وشبلاً.	tatakˈoːan ʕˈaːʔila alʔˈaswad mˈin wˈaːħid ʔlˈaː θalˈaːθa ðukˈuːr bilɣˈeːn , bilʔidˤˈaːfa ʔlˈaː mˈaː jˈasˤil ʔlˈaː θalaːθˈiːn ʔˈunθaː waʃˈablaː .
يُنصح المسافرون بشدة أن يلّموا بأي مخاطر لوقوع أحداث طقس قاسية في الأماكن التي يزورونها لما لذلك من تأثير على خطط سفرهم.	jˈansˤaħ almusaːfirˈuːn biʃˈidːa ʔˈan jˈalmːuː biʔˈeː maχˈaːtˤir liwuɡˈuːʕ ʔaħdˈaːθ tˤˈaɡs ɡˈaːsija fˈiː alʔamˈaːkin alːˈatiː jazuːruːnˈahaː lˈimaː liðˈalik mˈin taʔθˈiːr ʕˈalaː χˈatˤːatˤ safarˈihim .
تمامًا مثلما يجذب القمر الأرض فيتسبب في حدوث المد والجزر، تجذب مجرة درب التبانة مجرة الرامي.	tamˈaːmaː miθlˈamaː jˈaʒðib alɡˈamar alʔˈardˤ fajatasˈabːab fˈiː ħudˈuːθ almˈadː walʒˈazar , tˈaʒðib maʒˈarːa dˈarb atːabːˈaːna maʒˈarːa arːˈaːmiː .
لقد غرقت جميع السفن باستثناء طراد بريطاني واحد. وغرق وما يقرب من 200 شخص أمريكي وألماني.	lˈaɡad ɣarˈiɡat ʒamˈiːʕ asːˈufun bistiθnˈaːʔ tˤirˈaːd briːtˤaːnˈijː wˈaːħid . waɣˈariɡ wˈamaː jˈaɡrub mˈin miʔataːn ʃˈaχsˤ ʔamriːkˈijː waʔalmaːnˈijː .
أعربت منظمة "مانجولا" الخيرية الطبية ومنظمة أطباء بلا حدود ومنظمة الصحة العالمية، إن هذا هو أسوأ تفشٍ مسجل في البلاد.	ʔaʕrˈabat munaðˤːˈama maːnʒˈuːlaː alχeːrˈijːa atˤːibːˈijːa wamunaðˤːˈama ʔatˤibːˈaːʔ bˈilaː ħudˈuːd wamunaðˤːˈama asˤːˈiħːa alʕaːlamˈijːa , ʔn hˈaðaː hˈuː ʔˈaswaʔ tˈufʃ musˈaʒːal fˈiː albilˈaːd .
كانت الموازنة في الطاقة نظاماً حاولت من خلاله الدول الأوروبية أن تُحافظ على السيادة الوطنية الخاصة بجميع الدول الأوروبية.	kˈaːnat almuwˈaːzana fˈiː atˤːˈaːɡa niðˤˈaːmaː ħaːwˈalt mˈin χilˈaːlih adːˈuwal alʔuːruːbːˈijːa ʔˈan tuħˈaːfiðˤ ʕˈalaː asːijˈaːda alwatˤanˈijːa alχˈaːsˤːa biʒamˈiːʕ adːˈuwal alʔuːruːbːˈijːa .
ومن الناحية الأخرى، يحدث هذا تحديدًا لأن حجم الماء مرتفع للغاية بحيث يحجب رؤيتك للشلالات الفعلية لكثرة المياه!	wˈaman anːˈaːħija alʔˈuχraː , juħˈadːiθ hˈaðaː taħdˈiːdaː liʔˈanː ħˈaʒm almˈaːʔ murtˈafiʕ lilɣˈaːja biħˈeːθ jˈaħʒub ruʔjˈatuk liʃːalaːlˈaːt alfiʕlˈijːa likˈaθra almijˈaːh !
بشكل أساسي، ستضع إشعارات تعرض فيها مساعدتك، وتتنقّل على أرصفة الموانئ، وتقترب من الناس الذين يُنظفون يخوتهم، وتحاول أن تتواصل مع البحارة في الحانة، إلخ.	biʃˈakl ʔasaːsˈijː , satˈadˤaʕ ʔiʃʕaːrˈaːt taʕˈarːadˤ fˈiːhaː musaːʕadˈatuk , watatanˈaɡːal ʕˈalaː ʔarsˤˈifa almawˈaːniʔ , wataɡtˈarib mˈin anːˈaːs alːaðˈiːn junaðˤːifˈuːn jaχuːtˈahum , watuħˈaːwil ʔˈan tatawˈaːsˤal mˈaʕ albiħˈaːra fˈiː alħˈaːna , ʔlˈaχ .
