31 гыйнвар — Фәррах Дәүләтшин, БАССР халык чәчәне.	uˈtɨz ˈber ʁɨjnˈvɑr færˈrax dæylætˈʃin , ˈbe ˈɑ ˈes ˈes ˈer xɑˈlɨq ɕæɕæˈne .
15 гыйнвар — Бөгелмәдә Ярослав Һашек музее ачылды.	unˈbiʃ ʁɨjnˈvɑr bøɡelmæˈdæ jɑroˈslɑv haˈʃek muzeˈje ɑɕɨlˈdɨ .
1917 — Финляндия автономиясен торгызу турында манифест чыга.	ˈmeŋ tuˈʁɨz ˈjøz unʑiˈde finljɑndiˈjɑ avtonomijɑˈsen torʁɨˈzu turɨnˈdɑ maniˈfest ɕɨˈʁɑ .
20 март — АКШ-да Республикан фирка нигезләнә.	jeɡerˈme ˈmɑrt ˈɑ ˈqɑ ˈʃɑ ˈdɑ respubliˈkan firˈka niɡezlæˈnæ .
1517 — 1914 — Мисыр Госманлы дәүләте эчендә. Аның белән төрек пашалары идарә итә.	ˈmeŋ ˈbiʃ ˈjøz unʑiˈde , ˈmeŋ tuˈʁɨz ˈjøz unˈdyrt miˈsɨr ʁosmɑnˈlɨ dæylæˈte eɕenˈdæ . ɑˈnɨŋ beˈlæn tøˈrek pɑʃɑlɑˈrɨ idaˈræ iˈtæ .
Шиһапов М. Уңай эшкә балта чапмыйк // М.Шиһапов. Җырлыйсы җырларым бар әле. — Казан: Татар. кит. нәшр., 2005. — 229—234 б.	ʃihaˈpov ˈem uˈŋɑj eˈʃkæ bɑlˈtɑ ɕɑpˈmɨjq m . ʃihaˈpov . ʑɨrlɨjˈsɨ ʑɨrlɑˈrɨm ˈbɑr æˈle . qɑˈzɑn , tɑˈtɑr . ˈkit . ˈnæʃr , iˈke ˈmeŋ ˈbiʃ . iˈke ˈjøz jeɡerˈme tuˈʁɨz , iˈke ˈjøz uˈtɨz ˈdyrt b .
Фил шакмакларның яртысы гына үз контроле астында тота алганга турадан көчсезрәк дип санала. Моннан тыш тура буш тактада берьюлы 14 шакмакка һөҗүм итә, ә фил бары тик җидедән (фил такта почмагында) унөчкә кадәр (фил тактаның урта кырларында).	ˈfil ʃɑqmɑqlɑrˈnɨŋ jɑrtɨˈsɨ ʁɨˈnɑ ˈyz qontroˈle ɑstɨnˈdɑ toˈtɑ ɑlʁɑnˈʁɑ turɑˈdɑn køɕseˈzræk ˈdip sɑnɑˈlɑ . monˈnɑn ˈtɨʃ tuˈrɑ ˈbuʃ tɑqtɑˈdɑ berjuˈlɨ unˈdyrt ʃɑqmɑqˈqɑ høˈʑym iˈtæ , ˈæ ˈfil bɑˈrɨ ˈtik ʑideˈdæn ˈfil tɑqˈtɑ poɕmɑʁɨnˈdɑ unøˈɕkæ kaˈdær ˈfil tɑqtɑˈnɨŋ urˈtɑ qɨrlɑrɨnˈdɑ .
Никитин Н.Н. «Төньяк Аврорасы» («Северная Аврора»)	nikiˈtin ˈen ˈen tøˈnjɑq ɑvrorɑˈsɨ severnaˈjɑ ɑvroˈrɑ
Россия дәүләт су реестры мәгълүматы буенча елга Җаек су бассейны округында урнашкан, су хуҗалыгы участогы — Җаек елгасы бассейны (Россия булеге) Сакмар елгасыннан түбенрәк, Илек елгасын кертми. Кече елга бассейны — бассейны юк, елга бассейны — Җаек (су бассейнының Россия өлеше).	rossiˈjɑ dæyˈlæt ˈsu rejeˈstrɨ mæɡʔlymaˈtɨ bujenˈɕa jelˈɡa ʑaˈjek ˈsu bassejˈnɨ oqruʁɨnˈdɑ urnɑˈʃqɑn , ˈsu xuʑɑlɨˈʁɨ uɕɑstoˈʁɨ ʑaˈjek jelɡaˈsɨ bassejˈnɨ rossiˈjɑ buleˈɡe sɑqˈmɑr jelɡasɨnˈnan tybenˈræk , iˈlek jelɡaˈsɨn kertˈmi . keˈɕe jelˈɡa bassejˈnɨ bassejˈnɨ ˈjuq , jelˈɡa bassejˈnɨ ʑaˈjek ˈsu bassejnɨˈnɨŋ rossiˈjɑ øleˈʃe .
Алан 2009-нчы елдан бирле 2000-гә якын мәктәп укучысына белем бирде. Бу балаларның күбесе инде югары уку йортларында укый, техник белгечлек сайлаганнары бердәм дәүләт имтиханнарын ел да югары балларга тапшырып килә.	ɑˈlɑn iˈke ˈmeŋ tuʁɨzɨnˈɕɨ jelˈdan birˈle iˈke meŋˈɡæ jɑˈqɨn mækˈtæp uquɕɨsɨˈnɑ beˈlem birˈde . ˈbu bɑlɑlɑrˈnɨŋ kybeˈse inˈde juʁɑˈrɨ uˈqu jortlɑrɨnˈdɑ uˈqɨj , texˈnik belɡeˈɕlek sɑjlɑʁɑnnɑˈrɨ berˈdæm dæyˈlæt imtixannaˈrɨn ˈjel ˈdɑ juʁɑˈrɨ bɑllɑrˈʁɑ tɑpʃɨˈrɨp kiˈlæ .
Иске Кыргыз — Башкортстанның Илеш районында урнашкан татар авылы.	iˈske qɨrˈʁɨz bɑʃqortstɑnˈnɨŋ iˈleʃ rɑjonɨnˈdɑ urnɑˈʃqɑn tɑˈtɑr ɑvɨˈlɨ .
Касымхан Хөсәен улы Шакулов (Сәид-Шакулов), Сараның әтисе, шулай ук абруйлы кеше була. Нәселле мактаулы гражданин, ул тире эшкәртү һәм сату белән шөгыльләнә. Казанда аның икетуган апасы Айша Сәет-Шакулова танылган татар теологы, җәмәгать эшлеклесе, киләчәктә мөфти Галимҗан Баруди хатыны була.	qɑsɨmˈxɑn xøsæˈjen uˈlɨ ʃɑquˈlov sæˈid ʃɑquˈlov , sɑrɑˈnɨŋ ætiˈse , ʃuˈlɑj ˈuq ɑbrujˈlɨ keˈʃe buˈlɑ . næselˈle mɑqtɑuˈlɨ ɡraʒdaˈnin , ˈul tiˈre eʃkærˈty ˈhæm sɑˈtu beˈlæn ʃøɡɨllæˈnæ . qɑzɑnˈdɑ ɑˈnɨŋ iketuˈʁan ɑpɑˈsɨ ɑjˈʃɑ sæˈjet ʃɑquloˈvɑ tɑnɨlˈʁɑn tɑˈtɑr teoloˈʁɨ , ʑæmæˈɡat eʃlekleˈse , kilæɕækˈtæ møfˈti ɡalimˈʑan baruˈdi xɑtɨˈnɨ buˈlɑ .
2010 ел җанисәбен алу буенча биредә 444 кешенең яшәве мәгълүм.	iˈke ˈmeŋ ˈun ˈjel ʑanisæˈben ɑˈlu bujenˈɕa bireˈdæ ˈdyrt ˈjøz qɨˈrɨq ˈdyrt keʃeˈneŋ jɑʃæˈve mæɡˈʔlym .
Дәүләт су реестрында су объектының коды — 10010100812111100012982	dæyˈlæt ˈsu rejestrɨnˈda ˈsu obʔektɨˈnɨŋ qoˈdɨ ˈber ˈnul ˈnul ˈber ˈnul ˈber ˈnul ˈnul siˈɡez ˈber iˈke ˈber ˈber ˈber ˈber ˈnul ˈnul ˈnul ˈber iˈke tuˈʁɨz siˈɡez iˈke
Гидрологик өйрәнү (ГӨ) буенча коды — 115200875	ɡidroloˈʁik øjræˈny ˈɡø bujenˈɕa qoˈdɨ ˈjøz unˈbiʃ milliˈon iˈke ˈjøz ˈmeŋ siˈɡez ˈjøz ʑitˈmeʃ ˈbiʃ
Дәүләт су реестрында су объектының коды — 08010400412112100000100	dæyˈlæt ˈsu rejestrɨnˈda ˈsu obʔektɨˈnɨŋ qoˈdɨ ˈnul siˈɡez ˈnul ˈber ˈnul ˈdyrt ˈnul ˈnul ˈdyrt ˈber iˈke ˈber ˈber iˈke ˈber ˈnul ˈnul ˈnul ˈnul ˈnul ˈber ˈnul ˈnul
Дәүләт су реестрында су объектының коды — 03050200112103000066343	dæyˈlæt ˈsu rejestrɨnˈda ˈsu obʔektɨˈnɨŋ qoˈdɨ ˈnul ˈøɕ ˈnul ˈbiʃ ˈnul iˈke ˈnul ˈnul ˈber ˈber iˈke ˈber ˈnul ˈøɕ ˈnul ˈnul ˈnul ˈnul ɑlˈtɨ ɑlˈtɨ ˈøɕ ˈdyrt ˈøɕ
Полта — Россия территориясеннән ага торган елга. Ненец АО, Архангельск өлкәсе биләмәләрендә ага. Елганың тамагы Кулой елгасының сул ярыннан 206 км ераклыкта урнашкан. Елга озынлыгы 168 км.	polˈtɑ rossiˈjɑ territorijɑsenˈnæn ɑˈʁɑ torˈʁɑn jelˈɡa . neˈnet͡s ˈɑ ˈo , arxanˈɡelsk ølkæˈse bilæmælærenˈdæ ɑˈʁɑ . jelɡaˈnɨŋ tɑmɑˈʁɨ quˈloj jelɡasɨˈnɨŋ ˈsul jɑrɨnˈnɑn iˈke ˈjøz ɑlˈtɨ kiloˈmetr jeraqlɨqˈta urnɑˈʃqɑn . jelˈɡa ozɨnlɨˈʁɨ ˈjøz ɑltˈmɨʃ siˈɡez kiloˈmetr .
Гидрологик өйрәнү (ГӨ) буенча коды — 115202726	ɡidroloˈʁik øjræˈny ˈɡø bujenˈɕa qoˈdɨ ˈjøz unˈbiʃ milliˈon iˈke ˈjøz iˈke ˈmeŋ ʑiˈde ˈjøz jeɡerˈme ɑlˈtɨ
Гидрологик өйрәнү (ГӨ) буенча коды — 110000648	ɡidroloˈʁik øjræˈny ˈɡø bujenˈɕa qoˈdɨ ˈjøz ˈun milliˈon ɑlˈtɨ ˈjøz qɨˈrɨq siˈɡez
Дәүләт су реестрында су объектының коды — 15020300112115300033252	dæyˈlæt ˈsu rejestrɨnˈda ˈsu obʔektɨˈnɨŋ qoˈdɨ ˈber ˈbiʃ ˈnul iˈke ˈnul ˈøɕ ˈnul ˈnul ˈber ˈber iˈke ˈber ˈber ˈbiʃ ˈøɕ ˈnul ˈnul ˈnul ˈøɕ ˈøɕ iˈke ˈbiʃ iˈke
