# Indonesian ⟨e⟩ pepet/taling lexicon — CROSS-SOURCE CONSENSUS (wikipron ind ∩ kaikki ind).
# Latin ⟨e⟩ conflates pepet /ə/ and taling /e/~/ɛ/; the rule engine defaults pepet. Each entry pins the
# taling quality ONLY where BOTH independent human referees agree on the ⟨e⟩ pattern (single shared
# signature; homograph/variant words where the sources disagree are abstained). e vs ɛ preserved where the
# sources also agree exactly, else the taling mid /e/. Non-⟨e⟩ segments + stress are OUR rule output.
# Generated by tools/referee-eval — do not hand-edit. 2742 entries.
abegrin	abeɡrˈin
aberan	aberˈan
abetalipoproteinemia	abetalipoproteinemˈia
abiseka	abisekˈa
abisekanama	abisekanˈama
ableisme	ableˈismə
ablepsia	ablɛpsˈia
abonemen	abonəmˈɛn
abortifasien	abortifasˈiɛn
abreaksi	abreˈaʔsi
abreviasi	abreviˈasi
absen	ˈabsen
absenteisme	absɛntɛˈismə
abses	ˈabsɛs
abstinensi	abstinɛnsˈi
acidemia	at͡ʃidemˈia
adenilat	adenˈilat
adenitis	adenˈitis
adenoid	adenˈoid
adenoiditis	adenoidˈitis
adenokarsinoma	adenokarsinˈoma
adenolimfoma	adenolimfˈoma
adenolimfosele	adenolimfoselˈe
adenoma	adenˈoma
adenomiosis	adenomiˈosis
adenosina	adenosˈina
adenosis	adenˈosis
adenovirus	adenovˈirus
adipektomi	adipɛʔtˈomi
adiposera	adiposerˈa
adjektif	add͡ʒeʔtˈif
adjektiva	add͡ʒeʔtˈiva
adolesens	adolɛsˈəns
adpertensi	adpərtɛnsˈi
adrenal	adrenˈal
adrenalina	adrenalˈina
adrenergik	adrenɛrɡˈiʔ
adrenokortikal	adrenokortˈikal
adres	ˈadrɛs
adreskan	adrɛskˈan
adventisia	advɛntisˈia
advertensi	advərtɛnsˈi
aerasi	aerˈasi
aerator	aerˈator
aerobik	aerˈobiʔ
aerodinamika	aerodinamˈika
aerodinamis	aerodinˈamis
aerodrom	aerˈodrom
aerofagia	aerofaɡˈia
aerofiarologi	aerofiarolˈoɡi
aeronausifobia	aeronausifobˈia
aeronautika	aeronautˈika
aeropolis	aeropˈolis
aerosol	aerˈosol
afdeling	afdelˈiŋ
afduner	afdˈuner
afeksi	afɛʔsˈi
afektivitas	afɛʔtivˈitas
afenfosmefobia	afɛnfosmefobˈia
aferen	afərˈɛn
afetati	afetˈati
aforestasi	aforɛstˈasi
afriter	afrˈitɛr
ageisme	aɡeˈismə
agen	ˈaɡɛn
agenesis	aɡenəsˈis
agens	ˈaɡɛns
agensi	aɡɛnsˈi
agensia	aɡɛnsˈia
ageusia	aɡeusˈia
agrafestesia	aɡrafɛstesˈia
agresi	aɡrɛsˈi
ahuneyo	ahunejˈo
ajektif	ad͡ʒeʔtˈif
ajektiva	ad͡ʒeʔtˈiva
akademi	akademˈi
akelit	akɛlˈit
akeo	akeˈo
akinetopsia	akinetopsˈia
akondrogenesis	akondroɡenesˈis
akresi	aʔresˈi
akrolek	aʔrˈolɛʔ
akromegali	aʔromeɡˈali
akrometer	aʔrometˈər
akselerasi	aʔselərˈasi
akselerator	aʔselərˈator
akselerometer	aʔselərometˈər
aksen	ˈaʔsɛn
akseptasi	aʔsɛptˈasi
akseptor	aʔsɛptˈor
akses	ˈaʔsɛs
aksesori	aʔsesˈori
aktinometer	aʔtinometˈər
aktinomisetoma	aʔtinomisetˈoma
aktivitet	aʔtivˈitɛt
akuarel	akuˈarɛl
akueduk	akuedˈuʔ
akuene	akuenˈe
akuisens	akuˈisɛns
alamete	alamɛtˈe
albumen	albˈumɛn
aldehida	aldehˈida
aldosteron	aldosterˈon
aldosteronisme	aldosteronˈismə
alei	aleˈi
aleksin	alɛʔsˈin
alel	ˈalɛl
alena	alenˈa
aler	ˈalɛr
alergen	alɛrɡˈɛn
alewar	alewˈar
alferes	alferˈes
algometer	alɡomɛtˈər
alien	alˈiɛn
aloanamnesis	aloanamnesˈis
alopesia	alopesˈia
amane	amˈanɛ
ambeien	ambeˈiən
ambekara	ambekˈara
ambideksteritas	ambidɛʔstɛrˈitas
ambidekstrus	ambidɛʔstrˈus
ambiens	ambˈiɛns
ambivalensi	ambivalɛnsˈi
amebiasis	amebiˈasis
ameloblas	amelˈoblas
