㔂甘蔗	lân-kam-tsià
入閣	ji̍p-koh
入院	ji̍p-īnn
入霧	ji̍p-bū
入題	ji̍p-tê
入風隨俗	li̍p-hong-suî-sio̍k
入骨	ji̍p-kut
入黨	ji̍p-tóng
內䘥仔	lāi-kah-á
內中	lāi-tiong
內亂	lāi-luān
內債	lāi-tsè
內傷	lāi-siang
內公	lāi-kong
內出血	lāi-tshut-hueh
內分泌	lāi-hun-pì
內功	lāi-kong
內務	lāi-bū
內勤	lāi-khîn
內勻	lāi-ûn
內叛	lāi-puān
內口	lāi-kháu
內在	lāi-tsāi
內在的	lāi-tsāi-ê
內地	luē-tē
內埔	Lāi-poo
內埕	lāi-tiânn
內壢	Lāi-li̍k
內外	lāi-guā
內外攻	lāi-guā-kong
內奶	lāi-ling
內奸	lāi-kan
內媽	lāi-má
內孫	lāi-sun
內定	lāi-tīng
內家	lāi-ke
內容	lāi-iông
內山	lāi-suann
內山人	lāi-suann-lâng
內山倯	lāi-suann-sông
內山做大水	lāi-suann-tsò-tuā-tsuí
內山傖	lāi-suann-sông
內山出水	lāi-suann-tshut-tsuí
內山客	lāi-suann-kheh
內山猴	lāi-suann-kâu
內山菅榛	lāi-suann-kuann-tsin
內幕	luē-bōo
內底	lāi-té
內底坐	lāi-té-tsē
內底衫	lāi-té-sann
內底食	lāi-té-tsia̍h
內心	lāi-sim
內情	luē-tsîng
內應	lāi-ìng
內戰	luē-tsiàn
內房	lāi-pâng
內才	lāi-tsâi
內政	luē-tsìng
內政部	Lāi-tsìng-pōo
內政部長	lāi-tsìng-pōo-tiúnn
內斜視	lāi-tshiâ-sī
內景	lāi-kíng
內服	lāi-ho̍k
內椽	lāi-iân
內河	lāi-hô
內海	lāi-hái
內海仔	lāi-hái-á
內涵	lāi-hâm
內港	lāi-káng
內湖	Lāi-ôo
內湖區	Lāi-ôo-khu
內爿	lāi-pîng
內牆	lāi-tshiûnn
內疚	lāi-kiù
內症	lāi-tsìng
內痔	lāi-tī
內祖	lāi-tsóo
內神通外鬼	lāi-sîn-thong-guā-kuí
內科	lāi-kho
內科醫生	lāi-kho-i-sing
內稈	lāi-kuáinn
內籬仔	lāi-lî-á
內線	lāi-suànn
內緣	lāi-iân
內胎	lāi-thai
內腎	lāi-sīn
內腳目骨	lāi-kha-ba̍k-kut
內腹	lāi-pak
內臟	luē-tsōng
內茅埔	Lāi-hm̂-poo
內華達	Luē-hua-ta̍t
內蒙古	Lāi-bông-kóo
內蒙古自治區	Lāi-bông-kóo-Tsū-tī-khu
內行	lāi-hâng
內行人	lāi-hâng-lâng
內行個	lāi-hâng-ê
內行的	lāi-hâng-ê
內衣	lāi-i
內衫	lāi-sann
內衫褲	lāi-sann-khòo
內裌仔	lāi-kah-á
內裙	lāi-kûn
內裡	lāi-lí
內裾	lāi-ku
內褲	lāi-khòo
內視鏡	lāi-sī-kiànn
內親	lāi-tshin
內角	lāi-kak
內訌	lāi-hōng
內身	lāi-sin
內道	lāi-tō
內部	lāi-pōo
內里	lāi-lí
內重巡	lāi-tîng-sûn
內野	lāi-iá
內野手	lāi-iá-tshiú
內銷	lāi-siau
內門	lāi-mn̂g
內閣	luē-koh
內閣制	lāi-koh-tsè
內陸	lāi-lio̍k
內障	lāi-tsiàng
內面	lāi-bīn
內面間	lāi-bīn-king
內領衫	lāi-niá-sann
內頭	lāi-thâu
內首	lāi-tshiú
內骱	lāi-kái
全世界	tsuân-sè-kài
全世界我上佮意你	tsuân-sè-kài-guá-siōng-kah-ì-lí
全你个詼諧	tsuân-lí-ê-khue-hâi
全備	tsn̂g-pī
全副	tsuân-hù
全副武裝	tsuân-hù-bú-tsong
全力	tsuân-li̍k
全力以赴	tsuân-li̍k-í-hù
全員	tsuân-uân
全國	tsuân-kok
全國性	tsuân-kok-sìng
全壘打	tsuân-luî-tánn
全天下	tsuân-thian-hā
全失日	tsuân-sit-ji̍t
全屍	tsuân-si
全年	tsuân-nî
全心神	tsuân-sim-sîn
全成板	tsn̂g-siânn-pán
全才	tsuân-tsâi
全數	tsuân-sòo
全新	tsuân-sin
全書	tsuân-su
全會	tsuân-huē
全權	tsuân-kuân
全民	tsuân-bîn
全民健保	tsuân-bîn-kiān-pó
全滅	tsuân-bia̍t
全無膽懾	tsuân-bô-tánn-liap
全然	tsuân-jiân
全然無仝	tsuân-jiân-bô-kâng
全班	tsuân-pan
全球	tsuân-kiû
全癒	tsuân-jú
全盛	tsuân-sīng
全盤	tsuân-puânn
全盤檢討	tsuân-puânn-kiám-thó
全神貫注	tsuân-sîn-kuàn-tsù
全票	tsuân-phiò
全聯	Tsuân-liân
全能	tsuân-lîng
全蝕	tsuân-sit
全蝕日	tsuân-sit-ji̍t
全貌	tsuân-māu
全責	tsuân-tsik
全身	tsuân-sin
全身軀	tsuân-sin-khu
全軍	tsuân-kun
全軍覆沒	tsuân-kun-hok-bu̍t
全部	tsuân-pōo
全部攏看無	tsuân-pōo-lóng-khuànn-bô
全長	tsuân-tn̂g
全集	tsuân-tsi̍p
全面	tsuân-bīn
全面的	tsuân-bīn-tik
全額	tsuân-gia̍h
全體	tsuân-thé
全髮	tsuân-huat
兩三輾手	nn̄g-sann-lián-tshiú
兩三輾轉	nn̄g-sann-lián-tńg
兩个仔嗅嗅	nn̄g-ê-á-hiù-hiù
兩个仔噴噴	nn̄g-ê-á-phùn-phùn
兩个半手	nn̄g-ê-puànn-tshiú
兩交含	lióng-kau-kânn
兩伊	nn̄g-i
兩個	nn̄g-ê
兩個手	nn̄g-ê-tshiú
兩倍	nn̄g-puē
兩兄弟	nn̄g-hiann-tī
兩光	lióng-kong
兩全	lióng-tsuân
兩半	niú-puànn
兩句半話	nn̄g-kù-puànn-uē
兩喙半舌	nn̄g-tshuì-puànn-tsi̍h
兩層	nn̄g-tîng
兩岸	lióng-gān
兩巡	nn̄g-sûn
兩心願	liáng-sim-guān
兩想	niú-siúnn
兩抵償	lióng-tú-sióng
兩撇鬚	nn̄g-phiat-tshiu
兩敗俱傷	lióng-pāi-kū-siong
兩方	lióng-hong
兩方面	nn̄g-hong-bīn
兩旁	nn̄g-pîng
兩晡	nn̄g-poo
兩棲	lióng-tshe
兩極	lióng-ki̍k
兩樣心	nn̄g-iūnn-sim
兩步七仔	nn̄g-pōo-tshit-á
兩步半	nn̄g-pōo-puànn
兩段倒斡	nn̄g-tuānn-tò-uat
兩爿	nn̄g-pîng
兩用	lióng-iōng
兩相	niú-siùnn
兩眼	lióng-gán
兩箍	nn̄g-khoo
兩翁仔某	nn̄g-ang-á-bóo
兩者	lióng-tsiá
兩腳行	lióng-kha-kiânn
兩腳騎	lióng-kha-khiâ
兩親	lióng-tshin
兩賞	niú-siúnn
兩造	lióng-tsō
兩重親	nn̄g-tîng-tshin
兩鋪路	nn̄g-phòo-lōo
兩難	lióng-lân
兩面	lióng-bīn
兩韓	Lióng-hân
兩頭含	lióng-thâu-kânn
兩點	nn̄g-tiám
八五折	pat-ngóo-tsiat
八人扛	peh-lâng-kng
八仙	pat-sian
八仙屏	pat-sian-pîn
八仙投資人	pat-sian-tâu-tsu-jîn
八仙果	pat-sian-kó
八仙桌	pat-sian-toh
八仙樂園	Pat-sian-Lo̍k-hn̂g
八仙綵	pat-sian-tshái
八仙花	pat-sian-hue
八個月	peh-kòo-gue̍h
八兩笑半斤	peh-niú-tshiò-puànn-kin
八分	pat-hun
八卦	pat-kuà
八卦山	Pat-kuà-suann
八卦紅	pat-kuà-hông
八卦草	pat-kuà-tsháu
八卦路	pat-kuà-lōo
八哥	pat-ko
八堵	Pat-tóo
八婆	pat-pô
八字	peh-jī
八字命	peh-jī-miā
八字帖	peh-jī-thiap
八字步	pat-jī-pōo
八字眉	pat-jī-bâi
八字腳	pat-jī-kha
八字重	peh-jī-tāng
八字鬚	pat-jī-tshiu
八寶	pat-pó
八寶樹	pat-pó-tshiū
八寶湯	pat-pó-thng
八寶糜	pat-pó-muâi
八寶衫	pat-pó-sann
八德	pat-tik
八成	peh-siânn
八戒	pat-kài
八掌溪	Pat-tsiáng-khe
八斗仔	Peh-táu-á
八斗子	Pat-táu-tsí
八方	pat-hong
八方雲集	Pat-hong-hûn-tsi̍p
八景	pat-kíng
八月	peh-gue̍h
八月日	peh-gue̍h-ji̍t
八月節	peh-gue̍h-tseh
八步	peh-pōo
八比	pat-pí
八比仔	pat-pí-á
八珍	pat-tin
八田與一	Pat-tiân-Ú-it
八腳	pat-kioh
八萬仔	peh-bān-á
八號分機	Peh-hō-hun-ki
八角	peh-kak
八角茴香	peh-kak-huê-hiunn
八角蓮	peh-kak-liân
八角金盤	peh-kak-kim-puânn
八角香	peh-kak-hiunn
八角鷹	peh-kak-ing
八跤眠床	peh-kha-bîn-tshn̂g
八跤魚	peh-kha-hî
八通關	Pat-thong-kuan
八里	Pat-lí
八里沙	pat-lí-sa
八音	pat-im
八鵰	peh-tiau
公主	kong-tsú
公主抱	kong-tsú-phō
公事	kong-sū
公事包	kong-sū-pau
公交車	kong-kau-tshia
公代	kong-tāi
公休日	kong-hiu-ji̍t
公佈	kong-pòo
公佈欄	kong-pòo-lân
公使	kong-sài
公保	kong-pó
公信力	kong-sìn-li̍k
公假	kong-ká
公債	kong-tsè
公僕	kong-po̍k
公價	kong-kè
公元	kong-guân
公克	kong-khik
公共	kong-kiōng
公共場所	kong-kiōng-tiûnn-sóo
公共電視	Kong-kiōng-tiān-sī
公冢	kong-thióng
公函	kong-hâm
公分	kong-hun
公判	kong-phuànn
公務	kong-bū
公務員	kong-bū-uân
公升	kong-tsin
公厘	kong-lî
公司	kong-si
公司債	kong-si-tsè
公司法	kong-si-huat
公告	kong-kò
公告欄	kong-kò-lân
公哥	kang-ko
公噸	kong-tùn
公園	kong-hn̂g
公地	kong-tē
公堂	kong-tn̂g
公報	kong-pò
公塚	kong-thióng
公墓	kong-bōng
公婆龕	kong-pô-kham
公媽	kong-má
公媽牌	kong-má-pâi
公媽龕	kong-má-kham
公子	kong-tsú
公子爺	kong-tsú-iâ
公子爺舍	kong-tsú-iâ-sià
公孫	kong-sun
公孫仔	kong-sun-á
公孫樹	kong-sun-tshiū
公安	kong-an
公安局	Kong-an-kio̍k
公定	kong-tīng
公害	kong-hāi
公家	kong-ka
公家債	kong-ka-tsè
公家擔	kong-ke-tann
公家用	kong-ke-iōng
公家納	kong-ke-la̍p
公家翁婿	kong-ke-ang-sài
公家辦公室	kong-ke-pān-kong-sik
公寓	kong-gū
公審	kong-sím
公尺	kong-tshioh
公差	kong-tshai
公帑	kong-thóng
公平	kong-pênn
公廁	kong-tshik
公廳	kong-thiann
公式	kong-sik
公德心	kong-tik-sim
公意	kong-ì
公憤	kong-hùn
公所	kong-sóo
公推	kong-tshui
公揹婆	kong-āinn-pô
公攤	kong-thuann
公教	kong-kàu
公敵	kong-ti̍k
公文	kong-bûn
公文書	kong-bûn-su
公斤	kong-kin
公族	kong-tso̍k
公會	kong-huē
公有	kong-iú
公案桌	kong-àn-toh
公權	kong-kuân
公款	kong-khuán
公歇	kong-hioh
公正	kong-tsìng
公母	kang-bó
公母套	kang-bó-thò
公民	kong-bîn
公民投票	kong-bîn-tâu-phiò
公決	kong-kuat
公海	kong-hái
公演	kong-ián
公然	kong-jiân
公營	kong-îng
公爵	kong-tsiok
公物	kong-bu̍t
公玳	kong-tāi
公理	kong-lí
公產	kong-sán
公用	kong-iōng
公畝	kong-bóo
公益	kong-ik
公眾	kong-tsìng
公示	kong-sī
公社	kong-siā
公祭	kong-tsè
公私	kong-su
公立	kong-li̍p
公約	kong-iok
公署	kong-sū
公義	kong-gī
公職	kong-tsit
公聽會	kong-thiann-huē
公花	kang-hue
公視	Kong-sī
公親	kong-tshin
公設	kong-siat
公訴	kong-sòo
公論	kong-lūn
公諸於世	kong-tsu-û-sè
公證	kong-tsìng
公費	kong-huì
公費接種	kong-huì-tsiap-tsìng
公費注射	kong-huì-tsù-siā
公路	kong-lōo
公路局	kong-lōo-kio̍k
公車	kong-tshia
公車處	kong-tshia-tshù
公車龍	Kong-tshia-liông
公道	kong-tō
公道人	kong-tō-lâng
公道伯	kong-tō-peh
公里	kong-lí
公釐	kong-lî
公金	kong-kim
公銀	kong-gîn
公錢	kong-tsînn
公開	kong-khai
公開信	kong-khai-sìn
公開賽	kong-khai-sài
公關	kong-kuan
公頃	kong-khíng
公題	kong-tê
公餘	kong-î
公館	kong-kuán
公魚	kong-hî
公鹿	kang-lo̍k
公黃	kong-huînn
六信	La̍k-sìn
六六大順	lio̍k-lio̍k-tāi-sūn
六六粉	lio̍k-lio̍k-hún
六十石山	La̍k-tsa̍p-tsio̍h-suann
六合	lio̍k-ha̍p
六合彩	Lio̍k-ha̍p-tshái
六和	lio̍k-hô
六堆	Lio̍k-tui
六堵	La̍k-tóo
六大洲	la̍k-tāi-tsiu
六尾紅	La̍k-bué-âng
六年	la̍k-nî
六指的	la̍k-tsáinn-ê
六捻仔	la̍k-liām-á
六支尾	La̍k-ki-bué
六月	la̍k-gue̍h
六月冬	la̍k-gue̍h-tang
六月冬仔	la̍k-gue̍h-tang-á
六月賣火籠	la̍k-gue̍h-bē-hué-lang
六月雪	la̍k-gue̍h-seh
六朝	Lio̍k-tiâu
六根	lio̍k-kin
六桱床	la̍k-kènn-tshn̂g
六無	lio̍k-bû
六甲	la̍k-kah
六畜	lio̍k-thiok
六神草	lio̍k-sîn-tsháu
六禮	lio̍k-lé
六腳	La̍k-kha
六藝	lio̍k-gē
六親	lio̍k-tshin
六角	la̍k-kak
六角傘	la̍k-kak-suànn
六角散	la̍k-kak-sán
六角英	la̍k-kak-ing
六角草	la̍k-kak-tsháu
六賊	lio̍k-tsha̍t
六輕	la̍k-khin
六連六	la̍k-liân-la̍k
六點	la̍k-tiám
六點半	la̍k-tiám-puànn
六龜	La̍k-ku
六龜里社	La̍k-ku-lí-siā
共一家	kāng-tsi̍t-ke
共一樣	kāng-tsi̍t-iūnn
共事	kiōng-sū
共享	kiōng-hióng
共人	kā-lâng
共人刁	kā-lâng-tiau
共人唌	kā-lâng-siânn
共人嗙	kā-lâng-phngh
共人欺負	kā-lâng-khi-hū
共伊燒死	kā-i-sio-sí
共伴	kāng-phuānn
共勻	kāng-ûn
共匪	kiōng-huí
共厝內	kāng-tshù-lāi
共厝徛	kāng-tshù-khiā
共口灶	kāng-kháu-tsàu
共同	kiōng-tông
共同市場	Kiōng-tông-tshī-tiûnn
共名	kāng-miâ
共和	kiōng-hô
共和國	kiōng-hô-kok
共和黨	Kiōng-hô-tóng
共姓	kāng-sìnn
共姓仔	kāng-sènn-á
共字勻	kāng-jī-ûn
共字姓	kāng-jī-sènn
共字寫	kāng-jī-siá
共存	kiōng-tsûn
共工	Kiōng-kong
共帆	kāng-phâng
共彼个查某囡仔放開	kā-hit-ê-tsa-bóo-gín-á-pàng-khui
共心	kâng-sim
共我	kā-guá
共房頭	kāng-pâng-thâu
共有	kiōng-iú
共條水	kāng-tiâu-tsuí
共業	kiōng-gia̍p
共款	kāng-khuán
共沿	kāng-iân
共犯	kiōng-huān
共班	kāng-pan
共生	kiōng-sing
共產	kiōng-sán
共產黨	Kiōng-sán-tóng
共症頭	kāng-tsìng-thâu
共祖先	kāng-tsóo-sian
共祧	kāng-thiāu
共種傳	kāng-tsíng-thn̂g
共管	kiōng-kuán
共籠傳	kāng-láng-thn̂g
共總	kāng-tsóng
共聲嗽	kāng-siann-sàu
共腹內	kāng-pak-lāi
共葛	kāng-kuah
共融式遊具	kiōng-iông-sik-iû-kū
共謀	kiōng-bôo
共識	kiōng-sik
共路	kāng-lōo
共軍	kiōng-kun
共輩	kāng-puè
共途	kāng-tôo
共通	kiōng-thong
共陣	kāng-tīn
共面	kāng-bīn
共鳴	kiōng-bîng
共黨	kāng-táng
兵亂	ping-luān
兵仔	ping-á
兵仔伴	ping-á-phuānn
兵仔寮	ping-á-liâu
兵仔舍	ping-á-sià
兵仔鳥	Ping-á-tsiáu
兵力	ping-li̍k
兵卒	ping-tsut
兵單	ping-tuann
兵器	ping-khì
兵團	ping-thuân
兵工廠	ping-kang-tshiúnn
兵庫	Ping-khòo
兵庫縣	Ping-khòo-kuān
兵役	ping-ia̍h
兵權	ping-kuân
兵法	ping-huat
兵營	ping-iânn
兵種	ping-tsióng
兵符	ping-hû
兵糧	ping-niû
兵腳仔	ping-kha-á
兵衫	ping-sann
兵變	ping-piàn
兵隊	ping-tuī
兵馬	ping-bé
兵馬尪仔	ping-bé-ang-á
其一	kî-it
其中	kî-tiong
其二	kî-lī
其他	kî-thann
其內	kî-lāi
其外	kî-guā
其實	kî-si̍t
其後	kî-āu
其時	kî-sî
其次	kî-tshù
其間	kî-kan
其餘	kî-î
具備	khū-pī
具有	kū-iú
具結	khū-kiat
具體	khū-thé
典世	tián-sè
典型	tián-hîng
典契	tián-khuè
典故	tián-kòo
典獄官	tián-ga̍k-kuann
典獄長	tián-ga̍k-tiúnn
典禮	tián-lé
典範	tián-huān
典籍	tián-tsi̍k
典賣	tián-bē
典雅	tián-ngá
兼任	kiam-jīm
兼具	kiam-khū
兼勢	kiam-sì
兼塊做	kiam-tè-tsò
兼寄	kiam-kià
兼差	kiam-tshai
兼得	kiam-tit
兼營	kiam-îng
兼用	kiam-iōng
兼祧	kiam-thiāu
兼管	kiam-kuán
兼職	kiam-tsit
兼課	kiam-khò
兼辦	kiam-pān
兼顧	kiam-kòo
冇丹樹	phànn-tan-tshiū
冇冇	phànn-phànn
冇卵	phànn-nn̄g
冇古	phànn-kóo
冇含	phànn-ham
冇心	phànn-sim
冇手	phànn-tshiú
冇數	phànn-siàu
冇柑	phànn-kam
冇柴	phànn-tshâ
冇桂	phànn-kuì
冇樟	phànn-tsiunn
冇浡	phànn-phu̍h
冇炭	phànn-thuànn
冇石	phànn-tsio̍h
冇管仔草	phànn-kóng-á-tsháu
冇管麻	phànn-kóng-muâ
冇米仔	phànn-bí-á
冇粒	phànn-lia̍p
冇粟	phànn-tshik
冇粟仔	phànn-tshik-á
冇胎	phànn-thai
冇虹	phànn-khīng
冇蟳夯籠	phànn-tsîm-giâ-láng
冇蟳無膏	phànn-tsîm-bô-ko
冇計	phànn-kè
冇話	phànn-uē
冇談	phànn-tâm
冇頭	phànn-thâu
冇頭仔	phànn-thâu-á
冇頭鰱	phànn-thâu-liân
冇額	phànn-gia̍h
冇骨消	phànn-kut-siau
冉仲弓	Jiám-Tiōng-kiong
冉冉	liam-liam
冉求	Jiám-Kîu
冉腳冉手	liam-kha-liam-tshiú
冊包	tsheh-pau
冊包帶	tsheh-pau-tuà
冊名	tsheh-miâ
冊囊	tsheh-lông
冊型電腦	tsheh-hîng-tiān-náu
冊尻脊	tsheh-kha-tsiah
冊底	tsheh-té
冊店	tsheh-tiàm
冊庫	tsheh-khòo
冊房	tsheh-pâng
冊揹仔	tsheh-phāinn-á
冊架	tsheh-kè
冊楔仔	tsheh-seh-á
冊橐仔	tsheh-lok-á
冊櫥	tsheh-tû
冊疊仔	tsheh-thiap-á
冊皮	tsheh-phuê
冊簽	tsheh-tshiam
冊紙	tsheh-tsuá
冊苴仔	tsheh-tsū-á
冊蟲	tsheh-thâng
冊鑢仔	tsheh-lù-á
冊頁	tsheh-ia̍h
冊龜仔	tsheh-ku-á
再三	tsài-sann
再三再四	tsài-sann-tsài-sì
再出世	tsài-tshut-sì
再婚	tsài-hun
再接再厲	tsài-tsiap-tsài-lē
再敗	tsài-pāi
再會	tsài-huē
再次	tsài-tshù
再版	tsài-pán
再生	tsài-sing
再者	tsài-tsiá
再見	tsài-kiàn
再講	tsài-kóng
再起	tsài-khí
冒之冒捏	mōo-tsi-mōo-liap
冒充	mōo-tshiong
冒名	mōo-miâ
冒告	mōo-kò
冒失	bōo-sit
冒尖	mōo-tsiam
冒捏	mōo-liap
冒攝	mōo-liap
冒暑	mōo-sú
冒牌	mōo-pâi
冒犯	bōo-huān
冒稱	mōo-tshing
冒證	mōo-tsìng
冒險	bōo-hiám
冒雨	mōo-hōo
冒領	mōo-niá
冕旒	bián-liû
冗一氣	líng-tsi̍t-khuì
冗冗	līng-līng
冗剩	liōng-sīng
冗去	līng-khì
冗早	liōng-tsá
冗氣	līng-khuì
冗盛	liōng-sīng
冗空	līng-khang
冗絚	līng-ân
冗限	liōng-hān
冗霍霍	līng-hòo-hòo
冗鬆	līng-sang
冠亞軍	kuàn-a-kun
冠狀動脈	kuan-tsōng-tōng-me̍h
冠狀病毒	kuan-tsōng-pēnn-to̍k
冠軍	kuàn-kun
冠郭公	kuan-kueh-kong
冠首詩	kuàn-siú-si
冠鳩	kuan-khiu
冢仔地	thióng-á-tē
冢仔埔	thióng-á-poo
冢仔山	thióng-á-suann
冢地	thióng-tē
冢山	thióng-suann
冤仇	uan-siû
冤仇人	uan-siû-lâng
冤家	uan-ke
冤家主	uan-ke-tsú
冤家人	uan-ke-lâng
冤家變親家	uan-ke-piàn-tshin-ke
冤家量債	uan-ke-niû-tsè
冤屈	uan-khut
冤情	uan-tsîng
冤枉	uan-óng
冤枉球	uan-óng-kiû
冤枉路	uan-óng-lōo
冤獄	uan-ga̍k
冤禍	uan-ē
冤讎	uan-siû
冤讎人	uan-siû-lâng
冤鬼	uan-kuí
冤魂	uan-hûn
冥王星	Bîng-ông-tshenn
冥財	bîng-tsâi
冬令救濟	tong-līng-kiù-tsè
冬天	tang-thinn
冬季	tong-kuì
冬尾	tang-bué
冬尾天	tang-bué-thinn
冬尾時天	tang-bué-sî-thinn
冬帽	tang-bō
冬瓜	tang-kue
冬瓜好看無好食	tang-kue-hó-khuànn-bô-hó-tsiah
冬瓜山	Tang-kue-suann
冬瓜料	tang-kue-liāu
冬瓜糖	tang-kue-thn̂g
冬眠	tong-bîn
冬筍	tang-sún
冬節	tang-tseh
冬節圓	tang-tseh-înn
冬節食圓	Tang-tseh-tsia̍h-înn
冬粉	tang-hún
冬至	tang-tsì
冬菇	tang-koo
冬菜	tang-tshài
冬葉樹	tang-hio̍h-tshiū
冬蟲	tong-thiông
冬防	tong-hông
冬青	tang-tshenn
冬頭	tang-thâu
冰人	ping-jîn
冰仔水	ping-á-tsuí
冰克林姆	ping-khu-lín-mù
冰冷	ping-líng
冰凍	ping-tòng
冰原	ping-guân
冰地	Ping-tē
冰塊	ping-tè
冰山	ping-suann
冰山一角	ping-suann-tsit-kak
冰島	Ping-tó
冰店	ping-tiàm
冰庫	ping-khòo
冰廠	ping-tshiúnn
冰枕	ping-tsím
冰枝	ping-ki
冰條	ping-tiâu
冰櫃	ping-kuī
冰櫥	ping-tû
冰水	ping-tsuí
冰沙	ping-sua
冰河	ping-hô
冰淇淋	ping-kî-lîm
冰箱	ping-siunn
冰糕	ping-ko
冰糖	ping-thn̂g
冰袋	ping-tē
冰角	ping-kak
冰解	ping-kái
冰車	ping-tshia
冰雪	ping-seh
冰雪奇緣	Ping-suat-kî-iân
冰雹	ping-pha̍uh
冰霜	ping-sng
冰鞋	ping-ê
冰魚	ping-hî
冰麒麟	ping-kî-lîn
冰點	ping-tiám
冶金	iá-kim
冷冷仔	líng-líng-á
冷凊	líng-tshìn
冷凊凊	líng-tshìn-tshìn
冷凍	líng-tòng
冷凍劑	líng-tòng-tse
冷凍機	líng-tòng-ki
冷凍食品	líng-tòng-si̍t-phín
冷凍鳥	Líng-tòng-tsiáu
冷利	líng-lāi
冷卻	líng-khiok
冷吱吱	líng-ki-ki
冷嗖嗖	líng-sngh-sngh
冷嘶嘶	líng-sih-sih
冷場	líng-tiûnn
冷媒	líng-buê
冷宮	líng-kiong
冷性	líng-sìng
冷感症	líng-kám-tsìng
冷戰	líng-tsiàn
冷房	líng-pâng
冷拌	líng-puānn
冷支支	líng-ki-ki
冷森森	líng-sim-sim
冷氣	líng-khì
冷氣機	líng-khì-ki
冷氣設備	líng-khì-siat-pī
冷水	líng-tsuí
冷汗	líng-kuānn
冷泉	líng-tsuânn
冷淡	líng-tām
冷清	líng-tshing
冷清清	líng-tshing-tshing
冷滾水	líng-kún-tsuí
冷漠	líng-bo̍k
冷瀉	líng-sià
冷皙皙	líng-sih-sih
冷盤	líng-puânn
冷眼	líng-gán
冷笑	líng-tshiò
冷笑話	líng-tshiò-uē
冷管	líng-kuán
冷色	líng-sik
冷菜	líng-tshài
冷落	líng-lo̍k
冷著	líng-tio̍h
冷藏	líng-tsông
冷血	líng-hiat
冷酷	líng-khok
冷銃	líng-tshìng
冷鋒	líng-hong
冷門	líng-mn̂g
冷門貨	líng-mn̂g-huè
冷霜霜	líng-sng-sng
冷靜	líng-tsīng
冷靜落來	líng-tsīng-lo̍h-lâi
冷面	líng-bīn
冷風	líng-hong
冷飯	líng-pn̄g
冷飯團	líng-pn̄g-thuân
冷飯藤	líng-pn̄g-tîn
冷麵	líng-mī
冷鼎	líng-tiánn
准予	tsún-û
准數	tsún-siàu
准考證	tsún-khó-tsìng
凊乓乓	tshìn-piann-piann
凊凊	tshìn-tshìn
凊凊采采	tshìn-tshìn-tshái-tshái
凊吶	tshìn-nah
凊場	tshìn-tiûnn
凊塊塊	tshìn-teh-teh
凊市	tshìn-tshī
凊彩	tshìn-tshái
凊彩想	tshìn-tshái-siūnn
凊彩時	tshìn-tshái-sî
凊彩講	tshìn-tshái-kóng
凊心	tshìn-sim
凊心失志	tshìn-sim-sit-tsì
凊支支	tshìn-ki-ki
凊水	tshìn-tsuí
凊汗	tshìn-kuānn
凊油飯	tshìng-iû-pn̄g
凊瘼	tshìn-mooh
凊瘼吶	tshìn-mooh-nah
凊笑	tshìn-tshiò
凊糜	tshìn-muâi
凊膜	tshìn-mo̍oh
凊膜凹	tshìn-mooh-nah
凊色	tshìn-sik
凊菜	tshìn-tshài
凊采	tshìn-tshái
凊采采	tshìn-tshái-tshái
凊面	tshìn-bīn
凊飯	tshìn-pn̄g
凊飯藤	tshìn-pn̄g-tîn
凋井	ta-tsénn
凋呃	ta-eh
凋嗽	ta-sàu
凋尾	ta-bué
凋心	ta-sim
凋必	ta-pit
凋料	ta-liāu
凋枝	ta-ki
凋枯	ta-kho̍k
凋柴	ta-tshâ
凋椏	ta-ue
凋樹	ta-tshiū
凋水	ta-tsuí
凋洘	ta-khó
凋涸涸	ta-kho̍k-kho̍k
凋炭	ta-thuànn
凋燥	ta-sò
凋燥熱	ta-sò-jia̍t
凋燥燥	ta-sò-sò
凋疥	ta-kè
凋瘼	ta-mooh
凋瘼瘼	ta-mooh-mooh
凋癬	ta-sián
凋碇	ta-tīng
凋經	ta-king
凋耳	ta-hīnn
凋肘	ta-tiú
凋脯	ta-pôo
凋脯脯	ta-póo-póo
凋草	ta-tsháu
凋葉	ta-hio̍h
凋蔫	ta-lian
凋謝	tiau-siā
凋身	ta-sin
凋離	ta-lī
凋零	tiau-lîng
凋頭	tiau-thâu
凋鬆	ta-sang
凋黃	ta-n̂g
凌亂	lîng-luān
凌勒	lîng-li̍k
凌晨	lîng-sîn
凌治	lîng-tī
凌轢	lîng-li̍k
凌辱	lîng-jio̍k
凌遲	lîng-tî
凌雲	lîng-hûn
凌霄花	lîng-siau-hue
凌駕	lîng-kà
凍傷	tàng-siong
凍子	tàng-tsí
凍戇	tòng-gōng
凍機	tàng-ki
凍死	tàng-sí
凍水	tàng-tsuí
凍水機	tàng-tsuí-ki
凍甲	tàng-kah
凍瘡	tòng-tshong
凍結	tòng-kiat
凍趾	tàng-tsí
凍酸	tàng-sng
凍霜	tàng-sng
凍霜仔	tàng-sng-á
凍霜天	tàng-sng-thinn
凍霜客	tàng-sng-kheh
凍露	tàng-lōo
凍露水	tàng-lōo-tsuí
凜凜仔	lím-lím-á
凜墘	lím-kînn
凝心	gîng-sim
凝惡	gîn-ok
凝惡惡	gîng-ok-ok
凝水石	gîng-tsuí-tsio̍h
凝聚	gîng-tsū
