# British lexical variants: word\tGenAm-alphabet citation this accent starts from.
# See data/languages/english-gb/en-gb-lexical.PROVENANCE.md. The accent's PHONOLOGICAL rules still run
# over these (non-rhoticity, GOAT, NURSE/lettER, un-flapping); the lexical-SET layer does not — a set
# edit derived for a different word has no business running over a citation written for this one.
#
# ⚠ A LEMMA IS REFEREE-ATTESTED. An INFLECTION is ENTAILED: the lemma's citation plus the suffix the
# PARENT itself produced for that form, so the suffix's voicing is the parent's and not hand-invented
# (`clerks` takes its /s/ from klˈɝks, `levers` its /z/ from lˈɛvɚz, `herbs` its /z/ from ˈɝbz).
# Where the referee DOES attest an inflection it is a check, not the source, and both rows it has
# agree with the entailment. The PROVENANCE file marks which each row is.
#
# ⚠ AN OPTIONAL THIRD FIELD IS THE GenAm READING THE ROW MAY REPLACE, and the row then applies only when
# the parent actually produced it. The substitution is POS-BLIND and the parent is not: `progress` is
# `pɹˈɑːɡɹɛs` as a noun and `pɹəɡɹˈɛs` as a verb, and without the guard "we progress quickly" got the
# NOUN's citation — wrong within one sentence, the failure the inflection rows exist to prevent. A row
# WITHOUT the field is unconditional, which is right for the words that have one reading.
aluminium	ˌæljʊmˈɪniəm
ballet	bˈæleᶦ
ballets	bˈæleᶦz
buoy	bˈɔᶦ
buoyed	bˈɔᶦd
buoys	bˈɔᶦz
clerk	klˈɑːɹk
clerks	klˈɑːɹks
derby	dˈɑːɹbi
figure	fˈɪɡɚ
figured	fˈɪɡɚd
figures	fˈɪɡɚz
figuring	fˈɪɡɚɪŋ
herb	hˈɝb
herbs	hˈɝbz
leisure	lˈɛʒɚ
leisurely	lˈɛʒɚli
lever	lˈiːvɚ
levering	lˈiːvɚɪŋ
levers	lˈiːvɚz
lieutenant	lɛftʰˈɛnənt
lieutenants	lɛftʰˈɛnənts
pasta	pʰˈæstə
pastas	pʰˈæstəz
process	pɹˈoᶷsˌɛs
processed	pɹˈoᶷsɛst
processes	pɹˈoᶷsɛsᵻz
processing	pɹˈoᶷsɛsɪŋ
progress	pɹˈoᶷɡɹɛs	pɹˈɑːɡɹɛs
progresses	pɹˈoᶷɡɹɛsᵻz	pɹˈɑːɡɹɛsᵻz
schedule	ʃˈɛdjˌuːɫ
scheduled	ʃˈɛdjˌuːɫd
schedules	ʃˈɛdjˌuːɫz
scheduling	ʃˈɛdjˌuːlɪŋ
tomato	təmˈɑːtʰoᶷ
tomatoes	təmˈɑːtʰoᶷz
vitamin	vˈɪtəmɪn
vitamins	vˈɪtəmɪnz
