亜	あ	つ	
唖	あ	おし	
娃	あ	うつく	
阿	あ	おもね	
哀	あい	あわ	
愛	あい	いと	
挨	あい	ひら	
姶	おう	あい	
逢	ほう	あ	
葵	き	あおい	
茜	せん	あかね	
穐	しゅう	あき	
悪	あく	わる	
握	あく	にぎ	
渥	あく	あつ	
旭	きょく	あさひ	
葦	い	あし	
芦	ろ	あし	
鯵	そう	あじ	
梓	し	あずさ	
圧	あつ	お	
斡	あつ	めぐ	
扱	そう	あつか	
宛	えん	あ	
姐	そ	あね	
虻	ぼう	あぶ	
飴	い	あめ	
絢	けん		
綾	りん	あや	
鮎	でん	あゆ	
或	わく	あ	
粟	ぞく	あわ	
袷	こう	あわせ	
安	あん	やす	
庵	あん	いおり	
按	あん	おさ	
暗	あん	くら	
案	あん	つくえ	
闇	あん	やみ	
鞍	あん	くら	
杏	きょう	あんず	
以	い	もっ	
伊	い	かれ	
位	い	くらい	
依	い	よ	
偉	い	えら	
囲	い	かこ	
夷	い	えびす	
委	い	ゆだ	
威	い	おど	
尉	い		
惟	い	おも	
意	い		
慰	い	なぐさ	
易	えき	やさ	
椅	い		
為	い	ため	
畏	い	おそ	
異	い	こと	
移	い	うつ	
維	い		
緯	い	よこいと	
胃	い		
萎	い	な	
衣	い	ころも	
謂	い	い	
違	い	ちが	
遺	い	のこ	
医	い	い	
井	せい	い	
亥	がい	い	
域	いき		
育	いく	そだ	
郁	いく		
磯	き	いそ	
一	いち	ひと	
壱	いち	ひとつ	
溢	いつ	こぼ	
逸	いつ	そ	
稲	とう	いね	
茨	し	いばら	
芋	う	いも	
鰯		いわし	
允	いん	じょう	
印	いん	しるし	
咽	いん	むせ	
員	いん		
因	いん	よ	
姻	いん		
引	いん	ひ	
飲	いん	の	
淫	いん	ひた	
胤	いん	たね	
蔭	いん	かげ	
院	いん		
陰	いん	かげ	
隠	いん	かく	
韻	いん		
吋	とう	いんち	
右	う	みぎ	
宇	う		
烏	う	からす	
羽	う	は	
迂	う		
雨	う	あめ	
卯	ぼう	う	
鵜	てい	う	
窺	き	うかが	
丑	ちゅう	うし	
碓	かく	たし	
臼	きゅう	うす	
渦	か	うず	
嘘	きょ	うそ	
唄	ばい	うた	
欝	うつ	うっ	
蔚	うつ	うち	
鰻	まん	うなぎ	
姥	ぼ	うば	
厩	きゅう	うまや	
浦	ほ	うら	
瓜	か	うり	
閏	じゅん	うるう	
噂	そん	うわさ	
云	うん	い	
運	うん	はこ	
雲	うん	くも	
荏	じん		
餌	じ	え	
叡	えい	あき	
営	えい	いとな	
嬰	えい	ふ	
影	えい	かげ	
映	えい	うつ	
曳	えい	ひ	
栄	えい	さか	
永	えい	なが	
泳	えい	およ	
洩	えい	も	
瑛	えい		
盈	えい	み	
穎	えい	ほさき	
頴	えい	ほさき	
英	えい	はなぶさ	
衛	えい		
詠	えい	よ	
鋭	えい	するど	
液	えき		
疫	えき		
益	えき	ま	
駅	えき		
悦	えつ	よろこ	
謁	えつ		
越	えつ	こ	
閲	えつ	けみ	
榎	か	えのき	
厭	えん	いや	
円	えん	まる	
園	えん	その	
堰	えん	せき	
奄	えん	おお	
宴	えん	うたげ	
延	えん	の	
怨	えん	うら	
掩	えん	おお	
援	えん		
沿	えん	そ	
演	えん		
炎	えん	ほのお	
焔	えん	ほのお	
煙	えん	けむ	
燕	えん	つばめ	
猿	えん	さる	
縁	えん	ふち	
艶	えん	つや	
苑	えん	その	
薗	えん	その	
遠	えん	とお	
鉛	えん	なまり	
鴛	えん	おし	
塩	えん	しお	
於	お	おい	
汚	お	けが	
甥	せい	おい	
凹	おう	くぼ	
央	おう		
奥	おう	おく	
往	おう	い	
応	おう	あた	
押	おう	お	
旺	おう	さかん	
横	おう	よこ	
欧	おう	うた	
殴	おう	なぐ	
王	おう		
翁	おう	おきな	
襖	おう	ふすま	
鴬	おう	うぐいす	
鴎	おう	かもめ	
黄	こう	き	
岡	こう	おか	
沖	ちゅう	おき	
荻	てき	おぎ	
億	おく		
屋	おく	や	
憶	おく		
臆	おく	むね	
桶	よう	おけ	
牡	ぼ	おす	
乙	おつ	おと	
俺	えん	おれ	
卸	しゃ	おろ	
恩	おん		
温	おん	あたた	
穏	おん	おだ	
音	おん	おと	
下	か	した	
化	か	ば	
仮	か	かり	
何	か	なに	
伽	か	とぎ	
価	か	あたい	
佳	か		
加	か	くわ	
可	か	べ	
嘉	か	よみ	
夏	か	なつ	
嫁	か	よめ	
家	か	いえ	
寡	か		
科	か		
暇	か	ひま	
果	か	は	
架	か	か	
歌	か	うた	
河	か	かわ	
火	か	ひ	
珂	か		
禍	か	わざわい	
禾	か	いね	
稼	か	かせ	
箇	か		
花	か	はな	
苛	か	いじ	
茄	か		
荷	か	に	
華	か	はな	
菓	か		
蝦	か	えび	
課	か		
嘩	か	かまびす	
貨	か	たから	
迦	か		
過	か	す	
霞	か	かすみ	
蚊	ぶん	か	
俄	が	にわか	
峨	が	けわ	
我	が	われ	
牙	が	きば	
画	が	えが	
臥	が	ふせ	
芽	が	め	
蛾	ぎ	ひむし	
賀	が		
雅	が	みや	
餓	が	う	
駕	か	かご	
介	かい		
会	かい	あ	
解	かい	と	
回	かい	まわ	
塊	かい	かたまり	
壊	かい	こわ	
廻	かい	まわ	
快	かい	こころよ	
怪	かい	あや	
悔	かい	く	
恢	かい	ひろ	
懐	かい	ふところ	
戒	かい	いまし	
拐	かい		
改	かい	あらた	
魁	かい	さきがけ	
晦	かい	つごもり	
械	かい	かせ	
海	かい	うみ	
灰	かい	はい	
界	かい		
皆	かい	みな	
絵	かい		
芥	かい	からし	
蟹	かい	かに	
開	かい	ひら	
階	かい	きざはし	
貝	ばい	かい	
凱	がい	かちどき	
劾	がい		
外	がい	そと	
咳	かい	せ	
害	がい		
崖	がい	がけ	
慨	がい	なげ	
概	がい	おおむ	
涯	がい	はて	
碍	がい	さまた	
蓋	がい	ふた	
街	がい	まち	
該	がい		
鎧	かい	よろ	
骸	がい	むくろ	
浬	り	かいり	
馨	けい	かお	
蛙	あ	かえる	
垣	えん	かき	
柿	し	かき	
蛎	れい	かき	
鈎	こう	かぎ	
劃	かく	わ	
嚇	かく	おど	
各	かく	おのおの	
廓	かく	くるわ	
拡	かく	ひろ	
撹	かく	みだ	
格	かく		
核	かく		
殻	かく	から	
獲	かく	え	
確	かく	たし	
穫	かく		
覚	かく	おぼ	
