# KRNB RL — extracted from Toulmin (2006) Appendix A "Comparative KRNB wordlists" (ANU open-access, openresearch-repository.anu.edu.au). Devanagari\tIPA. Derived reflex data; provenance: Toulmin 2006 PhD, ANU.
आँट	a˜ʈ
आठ	aʈʰ
आगाित	agat̪i
आगुते	agut̪ɛ
आङु	aŋgul
आकाश	akas
आझी	aʤʱi
आटा	aʈa
आम	am
आद	ad̪
आर	ar
आलु	alu
आधा	ad̪ʱa
इटा	iʈa
ऊँच	u˜
उपास	upas
ऊन	un
एहाँय	jɛ˜
ऐपाके	ɛipakɛ
एक	ɛk
एके	ɛkɛlakʰa
एगार	ɛgar
ऐठा	ɛiʈʰa
िनदुर	nid̪ur
ओस	os
ठोट	ʈʰoʈ
काँको	ka˜ko
काँटा	ka˜ʈa
काङ	kaŋ
काती	kat̪i
काद	kad̪
कान	kan
काना	kana
काल	kal
कन	kin
कसान	kisan
काहाँय	kəhaj
खाटा	kʰaʈa
खारहा	kʰərʱa
खादी	kʰad̪i
खराब	kʰərap
खाली	kʰali
खुशी	kʰusi
खीरा	kʰira
खेत	kʰɛt̪
खुन	kʰun
गायँ	ga˜j
गाल	gal
गाअँ	gaw˜
िगदु	gid̪u
िगरगीत	girgiʈ
िगल	gil
गोल	gol
गोटेलाये	goʈɛ
घंटी	gʱonʈi
िघउ	gʱiu
घास	gʱa˜s
जवान	ʤəwan
जवाब	ʤəwa
जाङ	ʤaŋ
जाहाँय	ʤəhaj
जीब	ʤib
जाल	ʤal
जहाद	ʤəhaʤ
जीरा	ʤira
जुता	ʤut̪a
जेरेकेटा	ʤɛrkɛʈa
जोर	ʤor
झुठा	ʤʱuʈʰa
झुल	ʤʱul
टना	ʈina
टाटी	ʈaʈi
टाप	ʈap
ठाइँ	ʈʰai˜
ठाउँ	ʈʰaw˜
ठीक	ʈʰik
ठाल	ʈʰal
डेना	ɖɛna
देिहना	d̪ɛhina
डोल	ɖol
ढाक	ɖʱaki
धीला	ɖʱila
ढोल	ɖʱol
ताने	t̪anɛ
तीन	t̪in
ितरमाती	t̪irmat̪i
तीर	t̪ir
तुई	t̪ui
तेर	t̪ɛr
तुरी	t̪uri
तेल	t̪el
तेज	t̪jɛ
थोरे	t̪ʰorɛk
थुप	t̪ʰup
दिखन	d̪əkʰin
दाना	d̪ana
दाम	d̪am
दाँत	d̪a˜t̪
देमाल	d̪ɛmal
दुन	d̪un
दन	d̪in
दुिनया	d̪unia
दमाग	d̪imag
दुर	d̪ur
दुई	d̪ui
दुध	d̪ud̪
देरी	d̪ɛri
दोष	d̪os
धातु	d̪ʱat̪u
दबाल	d̪iwal
धान	d̪ʱan
धुवाँ	d̪ʱu˜wa
देहा	d̪ɛha
धुन	d̪ʱun
धुला	d̪ʱula
नाकार	nakar
नाङ	naŋʈia
लारी	lari
नाम	nam
नाक	nak
नारीयोल	nariol
िनबरी	nibri
नून	nun
नाव	naw
नुवाँ	nua
नेकना	nɛkna
पुवाल	pual
पाँच	pa˜
पाँव	paw˜
पाका	paka
पाकाल	pakal
पेखना	pɛkʰna
पुपनी	pupni
पाती	pat̪i
पातारी	pat̪ari
पाथल	pat̪ʰəl
पाहाड़	pəhaɽ
पानी	pani
िपस	pis
िपठी	piʈʰi
पुरे	purɛ
पेट	pɛʈ
पूरा	pura
पुना	purna
पुल	pul
फाल	pʰal
बारका	bərka
बरप	bər
बाँसी	ba˜si
बाँस	ba˜s
बाँयाँ	ba˜ja
बागान	bagan
बाघ	bag
बादे	bad̪ɛ
बाँनीया	bania
दर	band̪ər
बार	bar
बाहाँ	baha
बाहर	bahər
बालु	balu
बाउ	bawd̪ali
िबलाती	bilat̪i
िबष	bis
िबस	bis
िबना	bina
बुढा	burʱa
बेहान	bɛhan
बुक	buk
बेका	bɛka
बेङाँ	bɛŋa
बेला	bɛlaɖuba
बेिस	bɛsi
बेसीक	bɛsik
बेहा	bɛrʱa
बेला	bɛla
भारी	bʱari
भेलेला	bʱɛlɛla
भात	bʱat̪
भालुक	bʱaluk
भाप	bʱap
िभजाल	bʱiʤal
भुक	bʱuk
बीती	bit̪i
िभने	bʱinɛ
भोक	bʱok
भोर	bʱor
भेरा	bʱɛɽa
भुरा	bʱura
माघ	mag
माकरा	makra
माकु	makur
माटी	maʈi
माफ	ma
माथा	mat̪ʰa
मास	mas
मसुरा	məsura
मासु	masu
माने	manɛ
मुख	mukʰ
मीठ	miʈʰ
मुत	mut̪
मुई	mui
मुरदार	murd̪ar
मोच	mo
मुस	mus
मुसी	musi
मेघ	mjɛg
मोनी	moni
मइला	mojla
लुहा	luha
लुहार	luhar
लाठी	laʈʰi
लाल	lalʤʱol
नेङरा	nɛŋra
लाल	lal
लालच	lal
लालसा	lalsa
लाहाश	ləhas
लोक	lok
लोय	loj
लोटा	loʈa
लोभ	lo
िनसुन	nisun
रात	rat̪
सुँघ	suŋʱ
सीख	six
सुन	sun
िसयानी	siani
सेस	sɛs
साँप	sa˜p
सेरसो	sɛrso
सात	sat̪
िसत	sit̪
सीधा	sid̪ʱa
साल	sal
िससा	sisa
िसङ	siŋ
िसमा	sima
सुकना	sukna
सुपारी	supari
सुख	sukʰ
हाँस	ha˜s
हात	hat̪
हामा	hama
हेिथयार	hɛt̪iar
हाल	hal
हावा	hawa
