# ps.wiktionary STRESS referee — undiacritized word ⇥ our IPA with ˈ before the stressed vowel.
# Source: the acute/grave in ps.wiktionary's {{IPA}} romanization. CC-BY-SA; see
# tools/perso-arabic/silver.pswikt-ps.PROVENANCE.md. Consumer: tools/pashto/eval_ps_stress.ts.
# ⚠ POSITION ONLY. The SEGMENTS here come from the same romanization map as the silver and are no
# better than it; what this file is evidence about is WHICH vowel carries the stress.
آرپوهه	ɑrpˈoha
استازليک	ast̪ɑzlˈik
باجپازی	bad͡ʒpˈɑzaj
پېيون	pejˈun
بډمانيز	baɖmɑnˈiz
بشپړ	bˈaʃpaɻ
بريا	barjˈɑ
ابدي	abad̪ˈi
اتلولي	at̪alwalˈi
اندېښمن	and̪eʂmˈan
بېلگه	belɡˈa
اسپه	aspˈa
بوټپوهنه	buʈpohˈana
بېخبنا	bexbenˈɑ
اړاند	aɻˈɑnd̪
اورتون	ort̪ˈun
اوبتل	obt̪ˈal
بدمرغه	bad̪mˈarɣa
ازمېښتون	azmeʂt̪t̪ˈun
آرمل	ɑrmˈal
اروپاگروهی	ɑrupɑɡrohˈaj
آرياني	ɑrjɑnˈi
برخمن	barxmˈan
اتييزه	at̪ajˈiza
اټكلبڼه	aʈkalbˈaɳa
اټكلشمېر	aʈkalʃmˈer
احتجاجليك	eht̪ed͡ʒɑd͡ʒlˈik
اخځ	axˈad͡z
اخځليك	axad͡zlˈik
اخستونځی	axist̪ˈund͡zaj
اخېسته	axˈist̪a
ادبپوه	ad̪abpˈoh
ادبپوهاند	ad̪abpohˈɑnd̪
ادبپوهنه	ad̪appohˈana
ادبمين	ad̪abmajˈən
اډانه	aɖɑnˈa
اډانيز	aɖɑnˈiz
ارامځاى	arɑmd͡zˈaj
ارتېلځى	art̪ejald͡zˈaj
ارزپاڼه	arzpˈɑɳa
ارزښت	arzˈaʂt̪
ارزول	arzawˈal
ارزونه	arzawˈana
آرليك	ɑrlˈik
ارمانژلى	armɑnʒˈalaj
ارماني	armɑnˈi
انگيرواله	anɡerwˈɑla
ارواپوهنه	arwapohˈana
ارواښاد	arwɑʂˈɑd̪
اروالېږد	arwɑlˈeʐd̪
آرينزى	ɑrjanzˈaj
آرينمل	ɑɻjanmˈal
اړپېچ	aɻpˈet͡ʃ
اړپېچن	aɻpet͡ʃˈan
اړتون	aɻt̪ˈun
اړتياوړ	aɻt̪jɑwˈaɻ
اړخن	aɻxˈan
آړليك	ɑɻlˈik
آړمرستيالكړ	aɻmrast̪jˈɑlkaɻ
اړنگلاندې	aɻanɡlˈɑnd̪e
اړنگمن	aɻanɡmˈan
آړوتى	ɑɻwˈət̪aj
اړوند	aɻwˈand̪
اړوندي	aɻwand̪ˈi
اړيكپېر	aɻˈikper
اړيكغونډله	aɻˈikɣonɖla
اړيكلار	aɻiklˈɑr
اړيكن	aɻikˈan
اړيكى	aɻikˈaj
اړين	aɻˈin
آزاديوال	azɑd̪iwˈɑl
آزاديواله	azɑd̪iwˈɑla
ازمون	azmˈun
ازموينځى	azmojand͡zˈaj
ازموينه	azmojˈana
ازمېښتځى	azmeʂt̪d͡zˈaj
ازمېښتكار	azmeʂt̪kˈɑr
ازمېښتي	azmeʂt̪ˈi
اسانخوښى	asɑnxwaʂˈaj
استازگرانه	ast̪ɑzɡarɑnˈa
استازگري	ast̪ɑzɡarˈi
استازندوى	ast̪ɑzand̪ˈoj
استوگنغونډ	ast̪oɡanɣˈanɖ
استوگنيز	ast̪oɡanˈiz
اسمانڅك	asmɑnt͡sˈak
اسمانلار	asmɑnlˈɑr
آسپور	ɑsspˈor
استازليك	ast̪ɑzlˈik
آسمنډه	ɑsmˈənɖa
اشواگر	aʃwɑɡˈar
اشواگري	eʃwɑɡarˈi
اغزن	aɣzˈan
اغېزمن	aɣezmˈan
اغېزمنى	aɣezmˈanaj
اغېزمني	aɣezmanˈi
اكر	akˈar
اگاهانه	aɡɑhɑnˈa
اگسا	aɡsˈɑ
الواك	alwˈɑk
الواكي	alwɑkˈi
امرل	amrˈal
امرنه	amrˈana
امرونكى	amrˈunkaj
امرنې	amrˈane
انځوراند	and͡zorˈɑnd̪
انځورگر	and͡zorɡˈar
انځورگري	and͡zorɡarˈi
انځورل	and͡zorˈal
انځوروال	and͡zorwˈɑl
انځورواله	and͡zorwˈɑla
انځوريز	and͡zorˈiz
اندپوهه	and̪pˈoha
اندپوهيز	and̪pohˈiz
انددود	and̪d̪ˈod̪
اندل	and̪ˈal
اندليك	and̪lˈik
اندنه	and̪ˈana
اندوړ	and̪wˈaɻ
انده	ˈand̪a
انديال	and̪jˈɑl
انديز	and̪ˈiz
انگيالواک	anɡialwˈɑk
انډولتيا	anɖwalt̪jˈɑ
انگيروال	anɡerwˈɑl
انډولۍ	anɖolˈaj
انگيريال	anɡerjˈɑl
انگينوم	anɡinˈum
انگازور	anɡɑzawˈar
انگينومپوهه	anɡinumpˈoha
انگازه	anɡɑzˈa
انگينوميز	anɡinomˈiz
انگچار	anɡt͡ʃˈɑr
انگروزه	anɡrozˈa
اوبدانځى	obd̪ɑnd͡zˈaj
اوبدانه	obd̪ˈɑna
اوبرسونه	obrasawˈana
اوبپاڼه	obpˈɑɳa
اوبسپى	obspˈaj
اوبسمون	obsamˈun
اوبلوبه	oblˈoba
اوببخره	obbˈaxra
اوبپوهنه	obpohˈana
اوبكښ	obkˈaʂ
اوبلنباب	oblanbˈɑb
اوبمېچ	obmˈet͡ʃ
اوبخوڅه	obxˈut͡sa
اوبن	obˈan
اوبوړى	obwˈaɻaj
اورپک	orpˈak
اوبوېش	wbwˈeʃ
اوبوېشگر	obweʃɡˈar
اورگډى	orɡˈaɖaj
اوڅنډ	owt͡sˈanɖ
اوډون	oɖˈun
اوډونكى	oɖˈunkaj
اورلگاوى	orlaɡɑwˈaj
