# Javanese Latin ⟨e⟩ lexicon — CROSS-SCRIPT TRANSFER (the Punjabi Gurmukhi↔Shahmukhi pattern). The Latin ⟨e⟩ is
# ambiguous: pepet /ə/ vs taling /e/~/ɛ/ are BOTH written ⟨e⟩ and unrecoverable from Latin orthography (no rule).
# The Aksara Jawa script writes them with distinct signs (pepet ꦼ vs taling ꦺ), so it is MORE phonemic.
#
# PROVENANCE: each Aksara word (kaikki jav Aksara, Wiktionary human) was transliterated to its Latin form
# (deterministic — Aksara→Latin collapses pepet/taling→⟨e⟩, exactly the ambiguity) and phonemized via our OWN
# Aksara front-end (aksara.ts, which resolves ⟨e⟩); the resolved pronunciation is pinned to the Latin key. Pinned
# only where the Latin default (⟨e⟩→ə) DIFFERS — i.e. the taling words the Latin path gets wrong (pangeran→paŋeran,
# bebek→bebeʔ). Overrides the SHIPPED Latin path only; phonemizeWordRules (and the referee eval) bypass it. The
# referee eval FOLDS ⟨e⟩ (əɛe→e), so this is a shipped-quality gain the folded % cannot see.
abiseka	abisˈekɔ
ade	ˈad̪e
akeh	ˈakeh
ampel	ˈampel
ampeyan	ampˈejan
angel	ˈaŋel
anthek	ˈanʈeʔ
areh	ˈareh
bale	bˈale
bebek	bˈebeʔ
beda	bˈed̪ɔ
beji	bˈed͡ʒi
beya	bˈejɔ
brewu	brˈewu
cabe	t͡ʃˈabe
cawe	t͡ʃˈawe
cecel	t͡ʃˈet͡ʃel
centhang	t͡ʃˈenʈaŋ
denta	d̪ˈent̪ɔ
desa	d̪ˈesɔ
dhaeng	ɖˈaeŋ
duwe	d̪ˈuwe
enak	ˈenaʔ
enten	ˈent̪ən
enyong	ˈeɲɔŋ
gandhek	ɡˈanɖeʔ
gedheg	ɡˈəɖeɡ
geger	ɡˈeɡer
gepeng	ɡˈepeŋ
gledhah	ɡlˈeɖah
grendhel	ɡrˈenɖel
jebule	d͡ʒəbˈule
jene	d͡ʒˈəne
joget	d͡ʒˈoɡet̪
kadipaten	kad̪ipˈat̪en
kalen	kˈalen
kamantren	kamˈant̪ren
kapanewon	kapanˈewɔn
kareta	karˈet̪ɔ
kasep	kˈasep
katela	kat̪ˈelɔ
kates	kˈat̪es
kedah	kˈed̪ah
keju	kˈed͡ʒu
kemantren	kəmˈant̪ren
ken	kˈen
kenceng	kˈeɲt͡ʃeŋ
keputren	kəpˈʊt̪ren
klewer	klˈewer
kowe	kˈowe
krecek	krˈet͡ʃeʔ
kreta	krˈet̪ɔ
kretek	krˈet̪eʔ
lare	lˈare
malige	malˈiɡe
marakke	marˈakke
menak	mˈenaʔ
ngabei	ŋabˈei
ngene	ŋˈene
ngresmekake	ŋrəsmekˈake
pace	pˈat͡ʃe
pamer	pˈamer
pandhe	pˈanɖe
panewu	panˈewu
pangeran	paŋˈeran
pangreh	pˈaŋreh
pangrehpraja	paŋrehprˈɔd͡ʒɔ
pare	pˈare
parentah	parˈent̪ah
paseban	pasˈeban
pego	pˈeɡo
pegon	pˈeɡɔn
pelog	pˈelɔɡ
peso	pˈeso
prameswari	prameswˈari
prei	prˈei
prentah	prˈent̪ah
raden	rˈad̪en
rase	rˈase
regol	rˈeɡɔl
reh	rˈeh
rena	rˈenɔ
rencang	rˈeɲt͡ʃaŋ
reta	rˈet̪ɔ
rewang	rˈewaŋ
sampeyan	sampˈejan
sarasean	sarasˈean
sare	sˈare
sareh	sˈareh
sate	sˈat̪e
seba	sˈebɔ
seda	sˈed̪ɔ
sekaten	səkˈat̪en
seket	sˈekət̪
sela	sˈelɔ
selawe	səlˈawe
senapati	senapˈat̪i
sendaren	sənd̪ˈaren
sengenge	səŋˈeŋe
senter	sˈent̪ər
sentir	sˈent̪ɪr
sentra	sˈent̪rɔ
sep	sˈep
sepedha	səpˈeɖɔ
sere	sˈəre
serep	sˈerəp
seret	sˈeret̪
seri	sˈeri
sero	sˈero
seser	sˈeser
setra	sˈet̪rɔ
sewa	sˈewɔ
sewer	sˈewer
sindhen	sˈɪnɖen
slendro	slˈend̪ro
sondher	sˈɔnɖer
srei	srˈei
srengenge	srəŋˈeŋe
srundeng	srˈʊnd̪eŋ
taken	t̪ˈaken
teja	t̪ˈed͡ʒɔ
tela	t̪ˈelɔ
terong	t̪ˈerɔŋ
truwelu	t̪ruwˈelu
tulen	t̪ˈulen
tuwek	t̪ˈuweʔ
wae	wˈae
wasesa	wasˈesɔ
we	wˈe
wenten	wˈent̪ən
