# ⚠ THE LABIOVELAR SUB-SERIES: FIVE MEMBERS EACH, AND THE ORDER IS ⟨ʷə ʷi ʷa ʷe ʷɨ⟩.
# `makeGeezG2P` reads a fidel with no row here as the EMPTY STRING, so a missing member deletes its whole
# syllable: `ኲናት` ('war') read *nat*, `ቊጽሪ` ('number') read *t͡sʼɨɾi*. `silentCharsIn` reported ⟨ኲ⟩ ×28 and
# ⟨ቊ⟩ ×6 on that, and enumerating the Unicode block showed it was systematic — KXW ⟨ዀ ዂ ዃ ዄ ዅ⟩ and QHW
# ⟨ቘ ቚ ቛ ቜ ቝ⟩ were complete and correct, while QW/KW/GW held THREE of five each AND mapped their 1st-order
# member (ETHIOPIC SYLLABLE QWA/KWA/GWA) to the 5th order's vowel — ቈ kʼʷe, ኰ kʷe, ጐ ɡʷe.
# The 1st order is /ə/ everywhere else in THIS FILE (ሀ hə, ዀ xʷə, ቘ kʼʷə) and the 5th is /e/ (ሄ he), so the
# file contradicted itself. The epitran tir-Ethi referee agrees: ቈለ qʷələ, ኰርኰረ kʷərɨkʷərə, ተርጐመ tərɨɡʷəmə.
# ⚠ ጔ and ቌ have ZERO corpus instances and are written anyway — a series with one member left out is the
# defect this note exists to explain, and leaving the same hole in a different order repeats it.
ሀ	hə
ሁ	hu
ሂ	hi
ሃ	ha
ሄ	he
ህ	hɨ
ሆ	ho
ለ	lə
ሉ	lu
ሊ	li
ላ	la
ሌ	le
ል	lɨ
ሎ	lo
ሏ	lʷa
ሐ	ħə
ሑ	ħu
ሒ	ħi
ሓ	ħa
ሔ	ħe
ሕ	ħɨ
ሖ	ħo
ሗ	ħʷa
መ	mə
ሙ	mu
ሚ	mi
ማ	ma
ሜ	me
ም	mɨ
ሞ	mo
ሟ	mʷa
ፙ	mjə
ሠ	sə
ሡ	su
ሢ	si
ሣ	sa
ሤ	se
ሥ	sɨ
ሦ	so
ሧ	swa
ረ	ɾə
ሩ	ɾu
ሪ	ɾi
ራ	ɾa
ሬ	ɾe
ር	ɾɨ
ሮ	ɾo
ሯ	ɾʷa
ፘ	ɾjə
ሰ	sə
ሱ	su
ሲ	si
ሳ	sa
ሴ	se
ስ	sɨ
ሶ	so
ሷ	sʷa
ቀ	kʼə
ቁ	kʼu
ቂ	kʼi
ቃ	kʼa
ቄ	kʼe
ቅ	kʼɨ
ቆ	kʼo
ቋ	kʼʷa
ቈ	kʼʷə
ቊ	kʼʷi
ቌ	kʼʷe
ቍ	kʼʷɨ
በ	bə
ቡ	bu
ቢ	bi
ባ	ba
ቤ	be
ብ	bɨ
ቦ	bo
ቧ	bʷa
ተ	tə
ቱ	tu
ቲ	ti
ታ	ta
ቴ	te
ት	tɨ
ቶ	to
ቷ	tʷa
ኀ	ħə
ኁ	ħu
ኂ	ħi
ኃ	ħa
ኄ	ħe
ኅ	ħɨ
ኆ	ħo
ኋ	ħʷa
ኈ	ħʷe
ነ	nə
ኑ	nu
ኒ	ni
ና	na
ኔ	ne
ን	nɨ
ኖ	no
ኗ	nwa
አ	ʔə
ኡ	ʔu
ኢ	ʔi
ኣ	ʔa
ኤ	ʔe
እ	ʔɨ
ኦ	ʔo
