مقدمة	مُقَدَّمَ
الطبعة	الطَّبْعَ
الثانية	الثَّانِيَ
بين	بَيْن
يديك	يَدَيْك
أيها	أَيُّهَا
القارئ	الْقَارِئ
الكريم	الْكَرِيم
من	مِنْ
هذا	هَذَا
الكتاب	الْكِتَاب
بما	بِمَا
فيها	فِيهَا
إضافات	إِضَافَات
لم	لَمْ
تؤثر	تُؤَثِّر
على	عَلَى
منهج	مَنْهَج
ولكنها	وَلَكِنَّهَا
زادت	زَادَتْ
تعميق	تَعْمِيق
بعض	بَعْض
الأفكار	الْأَفْكَار
فيه	فِيه
وقد	وَقَدْ
أحببت	أَحْبَبْت
في	فِي
هذه	هَذِه
المقدمة	الْمُقَدِّمَ
أن	أَنْ
أتحدث	أتحدّث
عن	عَنْ
مصدر	مَصْدَر
الإيمان	الْإِيمَان
والنص	وَالنَّصّ
المقدس	الْمَقْدِس
الذي	الَّذِي
شرعت	شُرِعَتْ
العبادة	الْعِبَادَ
ألا	أَلَا
وهو	وَهُو
القرآن	الْقُرْآن
أنزله	أَنْزَلَه
الله	اللَّه
تعالى	تَعَالَى
محمد	مُحَمَّد
بن	بْن
عبد	عَبْد
صلوات	صَلَوَات
وسلامه	وَسَلَامُه
عليه	عَلَيْه
ليكون	لِيَكُون
دستور	دُسْتُور
الإسلام	الْإِسْلَام
وكتاب	وَكِتَاب
الأمة	الْأَمَ
لتطبيق	لِتَطْبِيق
ما	مَا
جاء	جَاء
عاش	عَاش
العرب	الْعَرَب
جاهليتهم	جَاهِلِيَّتِهِمْ
يعبدون	يَعْبُدُون
الأوثان	الْأَوْثَان
وتشتتت	وَتَشَتَّتَتْ
عقائد	عَقَائِد
الناس	النَّاس
بصورة	بِصُورَ
عامة	عَامَّ
فأصبحوا	فَأَصْبَحُوا
حاجة	حَاجَ
إلى	إلَى
عقيدة	عَقِيدَ
مقدسة	مُقَدَّسَ
يجتمع	يَجْتَمِع
حولها	حَوْلَهَا
ومن	وَمَنْ
هنا	هُنَا
نزل	نَزَل
يدعو	يَدْعُو
توحيد	تَوْحِيد
وعبادته	وَعِبَادَتِه
ويسخف	وَيُسَخِّف
عبادة	عُبَادَ
ويحرم	وَيَحْرُم
الشرك	الشِّرْك
والكفر	وَالْكُفْر
تحريما	تَحْرِيما
قاطعا	قَاطِعا
ويكشف	وَيَكْشِف
أفاعيل	أَفَاعِيل
الأقوام	الْأَقْوَام
الذين	الَّذِين
حرفوا	حَرَّفُوا
الكتب	الْكُتُب
السابقة	السَّابِقَ
التي	الَّتِي
أنزلها	أَنْزَلَهَا
عليهم	عَلَيْهِمْ
اهتمت	اهْتَمَّتْ
رسالة	رِسَالَ
بتخليص	بِتَخْلِيص
الإنسان	الْإِنْسَان
العبودية	الْعُبُودِيَّ
البشرية	الْبَشَرِيَّ
ونادت	وَنَادَتْ
بتحرير	بِتَحْرِير
العقل	الْعَقْل
قيود	قُيُود
الجهل	الْجَهْل
والتقليد	وَالتَّقْلِيد
الأعمى	الْأَعْمَى
بحيث	بِحَيْث
لا	لَا
يكون	يَكُون
إمعة	إِمَّعَ
ودعوة	وَدَعْوَ
العلم	الْعِلْم
والتفكير	وَالتَّفْكِير
والتدبير	وَالتَّدْبِير
كثيرا	كَثِيرا
تتكرر	تَتَكَرَّر
سوره	سُوَرِه
الكريمة	الْكَرِيمَ
يقرأ	يَقْرَأ
تاريخ	تَارِيخ
الحضارة	الْحَضَارَ
