# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبادیات	آبادُیات
آبدست	آبدسْت
آبرو	آبرُو
آتنکواد	آتنکِواد
آتنکوادی	آتنْکوادی
آخرت	آخَرت
آخری	آخَری
آدھنک	آدھَنک
آدھنکتاواد	آدھَنکتاواد
آرزو	آرزُو
آرمبھ	آرمْبھ
آرمینیا	آرمیَنُیا
آرمینیائی	آرمینُیائی
آزادیاں	آزادُیاں
آزادیوں	آزادُیوں
آزمودگی	آزمُودَگی
آزمودہ	آزمُودہ
آسند	آسنْد
آسٹریا	آسْٹْرُیا
آسٹریلیا	آسْٹْریَلیا
آسکت	آسکْت
آسیب	آسیَب
آشیانہ	آشُیانہ
آفتوں	آفَتوں
آفتیں	آفَتیَں
آلو	آلُو
آلود	آلُود
آلودگی	آلُودَگی
آلودگیاں	آلُودَگُیاں
آلودگیو	آلُودَگُیو
آلودگیوں	آلُودَگُیوں
آلودہ	آلُودہ
آلوچہ	آلُوچہ
آمدنی	آمْدنی
آمنہ	آمَنہ
آمول	آمُول
آمیزش	آمیَزش
آنت	آنْت
آندھیاں	آندھُیاں
آندھیوں	آندھُیوں
آنریری	آنریَری
آنساؤ	آنَساؤ
آنساؤں	آنَساؤں
آنسہ	آنَسہ
آنند	آننْد
آنگل	آنْگْل
آوازیں	آوازیَں
آپت	آپتَ
آڑو	آڑُو
آکرمن	آکْرمن
آکھیٹ	آکھیَٹ
آگرہ	آگرِہ
ابتدا	ابْتدا
ابتدائی	ابْتدائی
ابتسام	ابْتسام
ابخازیا	ابخازُیا
ابد	ابْد
ابر	ابْر
ابرو	ابرُو
ابلیسیانہ	ابلیسُیانہ
ابن	ابْن
ابو	ابُو
ابچل	ابَچل
ابھرام	ابھَرام
ابھشیک	ابھَشیَک
ابھلاش	ابھَلاش
ابھلاشا	ابھَلاشا
ابھمان	ابھَمان
ابھمانت	ابھَمانت
ابھنندن	ابھَنندن
اتحاد	اتَحاد
اتحادی	اتَحادی
اترادھنک	اتَرادھَنک
اتراردھ	اتَرارْدھ
اتری	اتَری
اتسار	اتَسار
اتصال	اتَصال
اتفاق	اتَفاق
اتپیٹھکا	اتپیٹھَکا
اتکا	اتَکا
اتہاس	اتَہاس
اتہام	اتَہام
اجازتوں	اجازَتوں
اجازتیں	اجازَتیَں
