# Danish pronunciation lexicon — word<TAB>IPA. From the NST Danish lexicon (Nasjonalbiblioteket /
# Sprakbanken, sbr-26), CC0 / public domain, ∩ the top-50k OpenSubtitles da frequency list (hermitdave
# FrequencyWords, CC BY-SA). Narrow convention: r-vocalisation ɐ, stop lenition, soft-d ð, length ː,
# stød ˀ. Shortest NST variant. Built by tools/danish/build_da_nst.py. The BiLSTM/rule handle OOV.
jeg	ˈjɑj
det	ˈde
er	ˈɛɐ
du	ˈduːˀ
ikke	ˈeɡə
at	ˈad
i	ˈiːˀ
en	ˈeːˀn
og	ˈɐw
har	ˈhɑːˀ
vi	ˈviːˀ
til	ˈte
på	ˈpɔːˀ
hvad	ˈvað
med	ˈmɛð
så	ˈsɔːˀ
for	ˈfɒ
mig	ˈmɑj
der	ˈdeɐˀ
han	ˈhan
dig	ˈdɑj
de	ˈdi
den	ˈdɛnˀ
kan	ˈkanˀ
af	ˈaːˀ
var	ˈvɑːˀ
vil	ˈvel
her	ˈheɐˀ
et	ˈɛd
skal	ˈsɡa
men	ˈmeːˀn
ved	ˈveːˀ
om	ˈɐmˀ
nu	ˈnu
ja	ˈja
som	ˈsɐm
hun	ˈhun
nej	ˈnɑjˀ
min	ˈmiːˀn
noget	ˈnɔːəð
ham	ˈhɑmˀ
være	ˈvɛːɐ
bare	ˈbɑː
din	ˈdiːˀn
hvor	ˈvɒːˀ
må	ˈmɔːˀ
hvis	ˈves
os	ˈoːˀs
kom	ˈkɐmˀ
ud	ˈuðˀ
dem	ˈdɛm
godt	ˈɡɐd
fra	ˈfʁɑːˀ
have	ˈhaːˀ
ville	ˈvilə
se	ˈseːˀ
gør	ˈɡœɐ
okay	ˈɔwˌkɛj
hvorfor	vɒˈfɒ
alle	ˈalə
lige	ˈliːə
op	ˈɐb
hende	ˈhenə
sig	ˈsiːˀ
hvordan	vɒˈdan
tror	ˈtʁoɐˀ
tak	ˈtɑɡ
gøre	ˈɡœːɐ
kunne	ˈkunə
lad	ˈla
kommer	ˈkɐmˀɐ
havde	ˈhaːðə
eller	ˈɛlˀɐ
meget	ˈmɑjəð
nok	ˈnɐɡ
få	ˈfɔːˀ
da	ˈda
ingen	ˈeŋən
man	ˈmaːˀn
gå	ˈɡɔːˀ
går	ˈɡɒːˀ
hvem	ˈvɛmˀ
bliver	ˈbliɐˀ
efter	ˈɛfdɐ
sagde	ˈsaːə
tilbage	teˈbaːə
når	ˈnɒːˀ
alt	ˈalˀd
måske	mɔˈsɡeːˀ
også	ˈɐsə
jo	ˈjoːˀ
mit	ˈmid
ind	ˈenˀ
vores	ˈvɒːɐs
hej	ˈhɑj
mere	ˈmeːɐ
hans	ˈhanˀs
skulle	ˈsɡulə
blev	ˈbleːˀ
nogen	ˈnoːən
lidt	ˈled
aldrig	ˈɑldʁi
får	ˈfɒːˀ
siger	ˈsiɐ
selv	ˈsɛlˀ
far	ˈfɑːˀ
over	ˈɐwˀɐ
to	ˈtoːˀ
kun	ˈkɔn
sådan	ˈsɐdan
ser	ˈseɐˀ
dit	ˈdid
jer	ˈjɛɐ
igen	iˈɡɛn
mor	ˈmoɐˀ
sammen	ˈsɑmˀən
tager	ˈtɑːˀ
mand	ˈmanˀ
hele	ˈheːlə
deres	ˈdɛːɐs
dag	ˈdaːˀ
tage	ˈtaːˀ
mine	ˈmiːnə
sige	ˈsiːə
gjorde	ˈɡjoːɐ
fordi	fɒˈdiːˀ
end	ˈen
undskyld	ˈɔnˌsɡylˀ
før	ˈfœɐˀ
været	ˈvɛːɐð
komme	ˈkɐmə
hold	ˈhɐlˀ
væk	ˈvɛɡ
dette	ˈdɛdə
blive	ˈbliː
år	ˈɒːˀ
ned	ˈneðˀ
helt	ˈheːˀld
fik	ˈfeɡ
tid	ˈtiðˀ
denne	ˈdɛnə
god	ˈɡoðˀ
gang	ˈɡɑŋˀ
laver	ˈlaːvɐ
nogle	ˈnoːlə
sted	ˈsdeðˀ
mange	ˈmɑŋə
folk	ˈfɐlˀɡ
dine	ˈdiːnə
tale	ˈtaːlə
mener	ˈmeːˀnɐ
tag	ˈtaːˀ
ting	ˈteŋˀ
siden	ˈsiːðən
finde	ˈfenə
altid	ˈalˀˌtiðˀ
brug	ˈbʁuːˀ
stadig	ˈsdaːði
hjem	ˈjɛmˀ
virkelig	ˈviɐɡəli
åh	ˈɔː
fint	ˈfiːˀnd
anden	ˈanˀən
lille	ˈlil
kender	ˈkɛnɐ
andre	ˈɑndʁɐ
elsker	ˈɛlsɡɐ
liv	ˈliwˀ
intet	ˈendəð
tog	ˈtoːˀ
ret	ˈʁɛd
gerne	ˈɡɛɐnə
uden	ˈuːðən
vent	ˈvɛnˀd
hendes	ˈhenəs
vel	ˈvɛl
lide	ˈliːˀ
hjælpe	ˈjɛlbə
set	ˈseːˀd
mod	ˈmoðˀ
troede	ˈtʁoːəðə
tre	ˈtʁeːˀ
vide	ˈviːðə
gud	ˈɡuð
gik	ˈɡiɡ
klar	ˈklɑːˀ
bedre	ˈbɛðʁɐ
vej	ˈvɑjˀ
gjort	ˈɡjoɐˀd
sidste	ˈsisdə
sker	ˈsɡeɐˀ
død	ˈdøðˀ
samme	ˈsɑmə
vidste	ˈvesdə
sin	ˈsiːˀn
fanden	ˈfanən
forstår	fɒˈsdɒːˀ
arbejde	ˈɑːˌbɑjˀdə
nå	ˈnɔːˀ
hør	ˈhøɐˀ
første	ˈfœɐsdə
giv	ˈɡiːˀ
penge	ˈpɛŋə
hjælp	ˈjɛlˀb
andet	ˈanəð
hen	ˈhɛnˀ
ven	ˈvɛn
giver	ˈɡiɐˀ
aften	ˈɑfdən
blevet	ˈbleːəð
jeres	ˈjɛːɐs
give	ˈɡiːˀ
burde	ˈbuɐdə
høre	ˈhøːɐ
taler	ˈtaːlɐ
længe	ˈlɛŋə
eneste	ˈeːnəsdə
morgen	ˈmɒːɐn
endnu	ɛˈnu
under	ˈɔnˀɐ
holde	ˈhɐlə
fandt	ˈfanˀd
bruge	ˈbʁuːə
skat	ˈsɡad
synes	ˈsyːnəs
bedste	ˈbɛsdə
står	ˈsdɒːˀ
venner	ˈvɛnɐ
fortælle	fɒˈtɛlˀlə
sikker	ˈseɡɐ
finder	ˈfenˀɐ
vær	ˈvɛɐˀ
navn	ˈnɑwˀn
skete	ˈsɡeːˀdə
måde	ˈmɔːðə
tro	ˈtʁoːˀ
døde	ˈdøːðə
sikkert	ˈseɡɐd
hos	ˈhɔs
selvfølgelig	sɛlˈføləli
holder	ˈhɐlɐ
par	ˈpɑ
hedder	ˈheðˀɐ
nødt	ˈnøːˀd
flere	ˈfleːɐ
fået	ˈfɔːəð
behøver	beˈhøːˀvɐ
hver	ˈvɛɐˀ
først	ˈfœɐsd
engang	enˈɡɑŋˀ
vist	ˈviːˀsd
verden	ˈvɛɐdən
betyder	beˈtyðˀɐ
ude	ˈuːðə
ellers	ˈɛlˀɐs
snart	ˈsnɑːˀd
stop	ˈsdɐb
stor	ˈsdoɐˀ
sir	ˈsœː
bange	ˈbɑŋə
børn	ˈbœɐˀn
næste	ˈnɛsdə
faktisk	ˈfɑɡdisɡ
gav	ˈɡaːˀ
søn	ˈsœn
pige	ˈpiːə
fyr	ˈfyɐˀ
prøver	ˈpʁøːvɐ
ked	ˈkeðˀ
derfor	ˈdɛɐˀˌfɒ
hallo	haˈlo
familie	faˈmilˀjə
gange	ˈɡɑŋə
gode	ˈɡoːðə
tiden	ˈtiðˀən
øjeblik	ˈɐjəˌbleɡ
nye	ˈnyːə
store	ˈsdoːɐ
lade	ˈla
lave	ˈlaːvə
ligesom	ˈliːəˌsɐm
alene	aˈleːnə
mænd	ˈmɛnˀ
møde	ˈmøːðə
ihjel	iˈjɛl
skyld	ˈsɡylˀ
sagt	ˈsɑɡd
gamle	ˈɡɑmlə
dage	ˈdaːə
galt	ˈɡaːˀld
mennesker	ˈmɛnəsɡɐ
kone	ˈkoːnə
mr	ˈmesdɐ
altså	ˈalˀsɐ
ses	ˈseːˀs
fundet	ˈfɔnˀəð
allerede	ˈaləˌʁeːðə
arbejder	ˈɑːˌbɑjˀdɐ
grund	ˈɡʁɔnˀ
slags	ˈslɑɡs
stille	ˈsdelə
én	ˈeːˀn
fem	ˈfɛmˀ
hvornår	vɒˈnɒːˀ
taget	ˈtaːˀəð
ønsker	ˈønsɡɐ
dø	ˈdøːˀ
rigtig	ˈʁeɡdi
glad	ˈɡlað
orden	ˈɒːˀdən
huske	ˈhusɡə
længere	ˈlɛŋɐɐ
disse	ˈdisə
farvel	fɑˈvɛl
slå	ˈslɔːˀ
hørte	ˈhøɐdə
lyder	ˈlyːˀdɐ
begge	ˈbɛɡə
bil	ˈbiːˀl
dræbe	ˈdʁeːbə
hinanden	hiˈnanən
