# OpenJTalk accent gold for ja-pitch-eval.mts — word<TAB>nucleus(0=heiban)<TAB>mora<TAB>reading.
# OpenJTalk (pyopenjtalk, modified BSD / naist-jdic) is an INDEPENDENT accent engine; only the derived
# integers + kana reading are kept (facts, not expression). CAVEAT: OpenJTalk is one of the three voters
# behind our merged pitch-accent.tsv (kanjium/OpenJTalk/UniDic), so agreement is a conservative but not
# fully-independent referee (see docs/investigations/ja_native_bringup_investigation.md). Regenerate with pyopenjtalk in a
# venv over a frequency word list (see build-ja-pitch-reference.py in espeak-ng-portable).
人	0	2	ひと
年	2	2	とし
的	0	2	てき
者	2	2	もの
月	2	2	つき
中	1	2	なか
何	1	2	なに
私	0	3	わたし
一	2	2	いち
今	1	2	いま
方	2	2	ほー
日本	3	4	にっぽん
自分	0	3	じぶん
俺	0	2	おれ
前	1	2	まえ
時間	0	3	じかん
話	3	3	はなし
事	2	2	こと
思う	2	3	おもう
分	2	2	わけ
家	2	2	いえ
円	1	2	えん
後	1	2	あと
良い	1	2	よい
大	0	2	だい
性	1	2	せー
上	0	2	うえ
回	1	2	かい
数	1	2	かず
必要	0	4	ひつよー
万	1	2	まん
世界	1	3	せかい
本	1	2	ほん
誰	1	2	だれ
第	1	2	だい
仕事	0	3	しごと
言う	0	2	いう
県	1	2	けん
問題	0	4	もんだい
系	1	2	けー
思い	2	3	おもい
情報	0	4	じょーほー
三	0	2	さん
関係	0	4	かんけー
会	1	2	かい
僕	1	2	ぼく
力	3	3	ちから
国	0	2	くに
今日	1	2	きょー
以上	1	3	いじょー
可能	0	3	かのー
場合	0	3	ばあい
多い	1	3	おーい
車	0	3	くるま
金	1	2	きん
男	3	3	おとこ
間	0	3	あいだ
出来	0	2	でき
所	0	3	ところ
人間	0	4	にんげん
女	3	3	おんな
位	0	3	くらい
様	2	2	よー
次	2	2	つぎ
行く	0	2	いく
欲しい	2	3	ほしい
無い	1	2	ない
女性	0	3	じょせー
東京	0	4	とーきょー
歳	2	2	とし
見る	1	2	みる
意味	1	2	いみ
一緒	0	3	いっしょ
多く	1	3	おーく
君	0	2	きみ
使用	0	3	しよー
店	2	2	みせ
悪い	2	3	わるい
新	1	2	しん
生	1	2	せー
結果	0	3	けっか
先	0	2	さき
内	0	2	うち
写真	0	3	しゃしん
参加	0	3	さんか
感	1	2	かん
物	2	2	もの
聞い	0	2	きい
顔	0	2	かお
お願い	0	4	おねがい
会社	0	3	かいしゃ
声	1	2	こえ
最近	0	4	さいきん
用	1	2	よー
違う	0	3	ちがう
十	1	2	じゅー
時代	0	3	じだい
頭	3	3	あたま
代	1	2	だい
子供	0	3	こども
彼	1	2	かれ
心	2	3	こころ
高	1	2	こー
名前	0	3	なまえ
無料	0	3	むりょー
版	1	2	はん
神	1	2	かみ
等	1	3	ひとし
超	1	2	ちょー
下	0	2	した
元	2	2	もと
別	0	2	べつ
場所	0	2	ばしょ
最後	1	3	さいご
高い	2	3	たかい
一番	2	4	いちばん
大丈夫	3	5	だいじょーぶ
町	2	2	まち
言葉	3	3	ことば
奴	1	2	やつ
映画	0	3	えーが
点	0	2	てん
社会	1	3	しゃかい
方法	0	4	ほーほー
最初	0	3	さいしょ
理由	0	3	りゆー
相手	3	3	あいて
体	0	3	からだ
作品	0	4	さくひん
動画	0	3	どーが
型	2	2	かた
彼女	1	3	かのじょ
頃	1	2	ころ
駅	1	2	えき
下さい	3	4	ください
企業	1	3	きぎょー
利用	0	3	りよー
存在	0	4	そんざい
曲	0	2	きょく
