# Punjabi CROSS-SCRIPT restoration lexicon — real Shahmukhi spelling ⇥ GOLD canonical IPA.
# The IPA comes from the VOWELED Gurmukhi sister-spelling (kaikki dual-script pairs) via our Gurmukhi g2p,
# so it restores the short vowels + majhūl و/ی + retroflex ن/ݨ the Shahmukhi abjad drops. CC-BY-SA (kaikki).
# SECOND SOURCE: pa↔pnb Wikipedia TITLE pairs (Wikidata sitelinks; 18,930 dual-wiki articles), word-aligned
# positionally when token counts match — every pair clears the same skeleton gate (a re-worded title
# differs in its plain consonants and is dropped: ਮਹਾਤਮਾ/موہن). Titles are CC-BY-SA like the rest.
# Consonant-skeleton gated. Regenerate: tools/perso-arabic/build_gurmukhi_shahmukhi.ts
آؤچ	ˈaːʊt͡ʃ
آئر	ˈaːɪɾ
آئرس	ˈaːɪɾəs
آئرلینڈ	aːɪɾlˈɛ̃ɳɖ
آئرین	aːɪɾˈiːn
آئزال	aːiːzˈoːl
آئزک	aːiːzˈɛːk
آئس	aːˈiːs
آئل	ˈaːɪl
آئمہ	ˈaːɪmaː
آئن	ˈaːɪn
آئنسٹائن	aːiːnəsʈaːˈiːn
آئنگر	aːˈɪ̃ŋɡəɾ
آئی	ˈaːiː
آئیاں	aːˈiːã
آئیر	əˈiːəɾ
آئیزک	ˈaːɪzək
آئیسلینڈر	aːiːslˈɛ̃ɳɖəɾ
آئیسوٹوپ	aːiːsoːʈˈoːp
آئیسوکین	aːiːsoːkˈeːn
آئیفل	aːˈiːfəl
آئینسٹائن	aːiːnəsʈaːˈiːn
آئینو	ˈaːɪnuː
آئینہ	aːˈiːnaː
آئیو	aːˈiːʋ
آئیون	ɪʋˈaːn
آئیووا	aːɪˈoːʋaː
آئیڈو	ˈiːɖoː
آئیے	aːˈiːeː
آب	ˈaːb
آباد	aːbˈaːd̪
آبادان	aːbaːd̪ˈaːn
آبادی	aːbˈaːd̪iː
آبرو	ˈaːbɾuː
آبلست	aːbˈəlsət̪
آبلسک	ˈaːblɪsək
آبنوس	aːbnˈuːs
آبو	ˈaːbuː
آبھا	ˈaː˥˩baː
آتش	ˈaːt̪əʃ
آتشک	ˈaːt̪ʃək
آتشی	ˈaːt̪ʃiː
آتشیں	ˈaːt̪ʃiː
آتما	ˈaːt̪maː
آتمجیت	aːt̪əmd͡ʒˈiːt̪
آتھن	ˈaːt̪ʰəɳ
آتھݨ	ˈaːt̪ʰəɳ
آتی	ˈaːt̪iː
آتیراؤ	ˈət̪ʊɾɔː
آج	ˈaːd͡ʒ
آجڑی	ˈaːd͡ʒɽiː
آخری	ˈaːxɾiː
آدتی	ˈəd̪ɪt̪ɪ
آدر	ˈaːd̪əɾ
آدم	ˈaːd̪əm
آدمی	ˈaːd̪miː
آدھار	aː˥˩d̪ˈaːɾ
آدھونک	ˈaː˥˩d̪ʊnɪk
آدی	ˈaːd̪ɪ
آدیتی	ˈəd̪ɪt̪iː
آدیش	aːd̪ˈeːʃ
آذر	ˈəzəɾ
آذربائیجان	aːzəɾbaːiːd͡ʒˈaːn
آذربائیجانی	aːzəɾbaːiːd͡ʒˈaːniː
آر	ˈaːɾ
آرا	ˈaːɾaː
آرائیں	əɾˈaːĩ
آرام	əɾˈaːm
آرامی	aːɾˈaːmiː
آرانمولا	əɾˈənmʊlaː
آرتمیس	ˈaːɾʈeːmɪs
آرتھر	ˈaːɾt̪ʰəɾ
آرتھک	ˈaːɾt̪ʰɪk
آرتی	ˈaːɾt̪iː
آرتیمس	ˈaːɾʈeːmɪs
آرزو	ˈaːɾzuː
آرمانی	ˈaːɾmaːniː
آرمز	ˈaːɾməz
آرمی	ˈaːɾmiː
آرنلڈ	əɾnˈoːləɖ
آرنمولا	aːɾˈəɳmʊl
آرودھر	aːɾˈʊd̪ɾaː
آرٹ	ˈaːɾəʈ
آرچر	ˈaːɾt͡ʃəɾ
آرڈر	ˈɔːɾɖəɾ
آرک	ˈaːɾək
آرکائیو	aːɾkaːˈiːʋ
آرکٹک	aːɾˈəkʈɪk
آرکیپیلاگو	ˈaːɾkiːpeːlaːɡoː
آرگون	aːɾɡˈaːn
آری	ˈaːɾiː
آریانہ	əɾjˈaːnaː
آرینا	aːɾˈeːnaː
آریکا	aːɾˈiːkaː
آزاد	aːzˈaːd̪
آزادی	əzˈaːd̪iː
آزوری	əzˈuːɾiː
آس	ˈaːs
آسا	ˈaːsaː
آسارام	aːsaːɾˈaːm
آسام	əsˈaːm
آسامی	əsˈaːmiː
آسان	aːsˈaːn
آستا	ˈaːst̪aː
آستک	ˈaːst̪ək
آستھا	ˈaːst̪ʰaː
آسمان	aːsmˈaːn
آسمانی	əsmˈaːniː
آسٹروم	oːsəʈɾˈoːm
آسٹن	ˈaːsʈən
آسکر	ˈɔːskəɾ
آسیما	əsˈiːmaː
آشا	ˈaːʃaː
آشالتا	aːʃˈaːlt̪aː
آشتی	ˈaːʃt̪iː
آشرم	ˈaːʃɾəm
آشنا	ˈaːʃnaː
آشنائى	ˈaːʃnaːiː
آشکا	ˈaːʃkaː
آشی	ˈaːʃiː
آشیش	əʃˈiːʃ
آصف	ˈaːsɪf
آغا	ˈaːɣaː
آف	ˈaːf
آفتاب	aːft̪ˈaːb
آفریدی	əfɾˈiːd̪iː
آفرین	aːfɾˈiːn
آل	ˈaːl
آلا	ˈəlaː
آلاء	ˈəlaː
آلان	aːlˈaːn
آلس	ˈaːləs
آلماتی	əlmˈaːʈiː
آلمدینا	əlmuːd̪ˈeːnaː
آلنوش	əlˈeːnʊʃ
آلو	ˈaːluː
آلین	ˈɛːlən
آمانو	əmˈaːnoː
آمدنی	ˈaːmd̪ən
آملیٹ	aːmlˈeːʈ
آمنت	əmˈaːnət̪
آمنہ	ˈaːmɪnaː
آمو	ˈaːmuː
آموت	ˈəmɪt̪ː
آمور	əmˈuːɾ
آمٹے	ˈaːmʈeː
آمگے	ˈaːmɡeː
آن	ˈaːɳ
آنا	ˈaːʊɳaː
آنات	ˈɛːnəʈ
آنادی	aːnˈaːd̪ɪ
آنتر	ˈə̃n̪t̪əɾ
آنتونیؤ	ˈãn̪t̪oːniːoː
آندا	ˈãn̪d̪aː
آندر	ˈãn̪d̪əɾ
آندرے	ˈãn̪d̪əɾeː
آندھرا	ˈã˥˩n̪d̪əɾaː
آندی	ˈãn̪d̪iː
آندے	ˈãn̪d̪eː
آنر	ˈaːnəɾ
آنند	aːnˈə̃n̪d̪
آنندپور	aːnˈə̃n̪d̪əpʊɾ
آنندی	aːnˈə̃n̪d̪iː
آنڈا	ˈãɳɖaː
آنی	ˈaːniː
آوا	ˈaːʋaː
آواجائی	aːʋaːd͡ʒˈaːiː
آوارا	əʋˈaːɾaː
آواره	əʋˈaːɾaː
آواز	aːʋˈaːz
آوازوں	aːʋˈaːzõ
آواس	aːʋˈaːs
آوت	ˈaːʋət̪
آوریتی	ˈəʋɾɪt̪iː
آویلا	aːʋˈiːlaː
آوینتکا	əʋˈə̃n̪t̪ɪkaː
آویں	ˈaːʋẽ
آٹا	ˈaːʈaː
آٹو	ˈaːʈoː
آپ	ˈaːp
آپاں	ˈaːpã
آپریشن	əpɾˈeːʃən
آپنی	ˈaːpɳiː
آپٹے	ˈaːpʈeː
آپݨا	ˈaːpɳaː
آڈرے	ˈɔːɖɾeː
آڈھا	ˈaː˥˩ɖaː
آڑو	ˈaːɽuː
آکاساکی	əkaːsˈaːkiː
آکاش	aːkˈaːʃ
آکال	əkˈaːl
آکاپولکو	aːkaːpˈuːlkoː
آکاہیتو	aːkaːɦˈiːt̪oː
آکرشن	aːkˈəɾʃən
آکسائڈ	aːksaːˈiːɖ
آکسرے	əksaːɾˈaːeː
آکسفورڈ	aːkəsfˈoːɾəɖ
آکسیجن	ˈaːksiːd͡ʒən
آکلینڈ	aːklˈɛ̃ɳɖ
آکڑ	ˈaːkəɽ
آکھاں	ˈaːkʰã
آکھن	ˈaːkʰəɳ
آکھنا	ˈaːkʰɳaː
آکھیاں	ˈaːkʰɪjã
آکھݨا	ˈaːkʰɳaː
آگ	ˈaːɡ
آگرا	ˈaːɡɾaː
آگرہ	ˈaːɡɾaː
آگسٹین	əɡˈəst̪ɪn
آگو	ˈaːɡuː
آں	ˈã
آہ	ˈaːɦ
آہانا	aːɦˈaːnaː
آہن	ˈaːɦəɳ
آہو	ˈaːɦoː
آہوجا	əɦˈuːd͡ʒaː
