# Gurmukhi EXCEPTIONS lexicon — word → IPA for the words the eval path gets wrong, carrying the
# wikipron pan_guru referee's own readings (first reading of a multi-pronunciation word).
#
# SOURCE:  wikipron pan_guru broad (en.wiktionary via wikipron) — CC-BY-SA, LICENSES/PROVENANCE.md §3.
# ⚠ THE REFEREE EVAL MUST NEVER READ THIS FILE — it was mined FROM that referee (phonemizeWordEval is the
#   scored function and stays clear; shipped phonemizeWord consults this first). House pattern: af/km.
# ⚠ Readings are the referee's notation verbatim (tone letters, ə̆) — the km arrangement, disclosed.
# Mostly the medial-schwa class proven lexical three ways: audio adjudication (FLEURS, Runs 1-2), two failed
# rule derivations (Run 4), and the 52:40 population split on the final-cluster context.
# Regenerate: npx tsx tools/gen/build-pa-guru-lexicon.mts
# ENTRIES: 217
ਂ	ä̃ːɲ
ੰ	ə̃ɲ
ਉਸਤਰਾ	ʊst̪əɾɑː
ਉਹਦਾ	oː˥d̪äː
ਉਣੰਜਾ	ʊɳəndʒäː
ਉੱਤਰਖੰਡ	ʊt̪t̪əɾəkʰəɳɖə
ਉੱਥੇ	ot̪t̪ʰeː
ਊਠਣੀ	uːʈʈʰə̆ɳiː
ਅਸਟ੍ਰੇਲੀਆ	ə̆sᵊʈɾeːllijaː
ਅਸਮਾਨ	əsə̆maːn
ਅੱਕਣਾ	əkkᵊɳɑː
ਅਗਸਤ	əɡəst̪
ਅਜ਼ਮਾਉਣਾ	əzəmäːʊɳäː
ਅਠਵੰਝਾ	əʈʰᵊʋən˩˥dʒäː
ਅਣਮੁੱਲਾ	ənmʊlläː
ਅਨਵਾਨ	ʊnwäːn
ਅਫ਼ਗ਼ਾਨਿਸਤਾਨ	əfɣänˑɪst̪äːn
ਅਰਥ	əɾt̪ʰ
ਅਲਯਸਾ	ələjəsäː
ਆਸਟ੍ਰੇਲੀਆ	äːsʈɾeːliːäː
ਆਦਿ	äːd̪iː
ਆਪਣੀ	əpɳiː
ਆਪਣੇ	əpɳeː
ਇਸਹਾਕ਼	ɪsəɦäːq
ਇਸਮਾਈਲ	ɪsəmäːiːl
ਇਹ	eː˥
ਇਹਦਾ	eː˦d̪ɑː
ਇਕਵੰਜਾ	ɪkᵊʋəndʒäː
ਸ਼ਹਿਰ	ʃɛː˦ɾə̆
ਸਹੁਰਾ	sɔː˦ɾäː
ਸੱਜਣ	səd͡ʒd͡ʒəɳᵊ
ਸਟੋਰੀ	sʈoːɾiː
ਸ਼ਤਰੰਜ	ʃət̪rənd͡ʒᵊ
ਸਤਵੰਜਾ	sət̪ᵊʋəndʒäː
ਸਮਾਧ	səmäː˥
ਸੰਯੁਕਤ	səɲd͡ʒʊktə̆
ਸ਼ਰਤ	ʃəɾt̪
ਸਰਫ਼ਰਾਜ਼	səɾᵊfəɾäːd͡ʒə̆
ਸਵਖਤਾ	səʋkʰət̪äː
ਸਾਹਿਬ	sɑː˦ɦəbᵊ
ਸਾਂਦ	säːnd̪ɪ̆
ਸਾਂਭ	säːm˥
ਸਾਂਭਣਾ	säːm˥bɳäː
ਸ਼ੁਕਰੀਆ	ʃʊkə̆ɾijaː
ਸੁੰਘਣਾ	sʊŋ˥ɡɳäː
ਸੇਉ	seːw
ਸੈਂਤੀ	sɛ̃ːt̪iː
ਸੌਵਾਂ	sə̯uʋä̃ː
ਹਉਕਾ	ɦɔːkːaː
ਹਉਮੈਂ	ɦɔːmːɛ̃ː
ਹੰਸ	ɦəns
ਹਸਪਤਾਲ	ɦəspət̪äːl
ਹਰਿਆਣਾ	həɾɪaːɳaː
ਹਿੰਦਵਾਣਾ	ɦɪnd̪ʋäːɳäː
ਹੁੱਕ਼ਾ	ɦʊkːä
ਕੱਸਣਾ	kəsːᵊɳɑː
ਕਹੀ	kɛː˥
ਕੰਧ	kə́nd̪ɪ̆
ਕਲਮਘੜਾ	kɐləməkə̀ɽaː
ਕਾਇਰ	kɛː˥ɾə̆
ਕਾਂਡੀ	kɑ̃nɖiː
ਕਿਉਂ	kjõː
ਕਿਹੜਾ	keː˩˥ɽaː
ਕਿਤਨਾ	kɪt̪ə̆naː
ਕ਼ੁਰਬਾਨ	kʊɾbän
ਕੇਰਲਾ	keːɾəlaː
ਕੋਲ਼	koːɭɪ̆
ਖੱਤਰੀ	kʰət̪t̪ɾiː
ਖ਼ਾਲਿਸਤਾਨ	xaːlɪsət̪aːnə
ਖੇਡਣਾ	kʰeːɖə̆ɳaː
ਗੰਢਣਾ	ɡə˥ɳɖɳäː
ਗਰਮ	ɡəɾᵊmə̆
ਗਰਾਂ	ɡᵊɾä̃ː
ਗਰਿਫ਼ਤਾਰ	ɡɾɪft̪äɾə̆
ਗੁਜਰਾਤ	ɡud͡ʒəɾaːt̪ə
ਗੁੰਝਲ਼ਦਾਰ	ɡʊɳd͡ʒəɭə̆daːɾə̆
ਗੋਂਗਲੂ	ɡoːŋɡluː
ਘੱਲੂਘਾਰਾ	kəl˨luːkäː˨ɾäː
ਘਿਉ	kjoː˥˩
ਘਿਦਾ	ɡɪ˥˩däː
ਘਿਨਣਾ	ɡɪ˦˨nə̆ɳaː
ਘੇ	ɡ̊eː˥˩
ਚਚੇਰ	t͡ʃat͡ʃeːɾə̆
ਚੱਟਣਾ	t͡ʃəʈːɳɑː
ਚੰਡੀਗੜ੍ਹ	t͡ʃəɳɖiːɡɽ˥
ਚੜ੍ਹਦਾ	t͡ʃəɽ˦d̪äː
ਚੁਰੰਜਾ	tʃʊɾəndʒäː
ਛਪੰਜਾ	tʃʰəpəndʒäː
ਜ਼ਹਿਰ	zɛː˦ɾə̆
ਜਰਮਨ	d͡ʒəɾə̆mənə̆
ਜ਼ਲਜ਼ਲਾ	zəlzəläː
ਜਾਂਞੀ	d͡ʒäːɲd͡ʒiː
ਜ਼ਿਆਦਾ	d͡ʒɪäːd̪äː~zɪäːd̪äː
ਜਿਨਸ	d͡ʒins
ਝ	d͡ʒʱ
ਝੱਸਣਾ	t͡ʃə̀sːᵊɳɑː
ਝੱਝਾ	d͡ʒʱəd͡ʒd͡ʒʱäː
ਝਾਰਖੰਡ	t͡ʃaː˨ɾəkʰəɳɖə
ਟਰੱਕ	ʈɾəkːə̆
ਠਹਿਰਨਾ	ʈʰɛːɾ˦ᵊnäː
ਠਾਕਣਾ	ʈʰäːkə̆ɳäː
ਡੰਗਣਾ	ɖə̃ŋɡᵊɳäː
ਡੰਗਰ	ɖənɡəɾə̆
ਡੰਡਾ	ɖənɖaː
ਡਰਾਉਣਾ	ɖəɾɔːɳäː
ਡੈਕਸਟ੍ਰੋਮੇਥੋਰਫਨ	ɖɛksʈɾoːmeːt̪ʰoːɾpʰən
ਢ	ɖʱ
ਤਖਤ	t̪əkʰt̪
ਤਖ਼ਤ	t̪əxt̪
ਤਨਖ਼ਾਹ	t̪ənkʰäː˦
ਤਰਕਾਲ਼ਾਂ	təɾɪ̆kaːɭãː
ਤਰਵੰਜਾ	t̪əɾᵊʋəndʒäː
ਤਲ਼ਨਾ	t̪əɭə̆näː
ਤਿਹਰਾ	teː˥ɾäː
ਤੁਹਾਡਾ	t̪ʊa˨ɖˑaː
ਤੈਨੂੰ	t̪ɛːnũː~t̪ɛːnˑũː
ਤੌਲੀਆ	t̪oːlɪjə
ਥੰਮ੍ਹਣਾ	t̪ʰəm˦mᵊɳäː
ਦੱਸਣਾ	d̪əsˑᵊɳäː
ਦਰਖ਼ਤ	d̪əɾəkʰət̪ᵊ
ਦਿੱਸਣਾ	d̪ɪs̪ˑᵊɳäː
ਦਿਲਚਸਪ	d̪ɪlt͡ʃəsəp
ਦੁਪਹਿਰ	d̪opəɪ˩˥ɾə̆
ਧ	d̪ʱ
ਧੋਣਾ	t̪ʰoː˨ɳɑː
ਨਾਲ	naːlɪ̆
ਨਾਲ਼	naːɭɪ̆
ਨਿੰਮ	niːmː˥
ਪਹਿਲਾ	pɛ˦läː
ਪਹੁ	pɔː˥
ਪਹੁੰਚਣਾ	pəɦʊɲt͡ʃɳäː
ਪਚਵੰਜਾ	pətʃᵊʋəndʒäː
ਪੰਜਤਾਲੀ	pəndʒᵊt̪äːɭiː
ਪੰਜਵਾਂ	pəɲd͡ʒʋä̃ː
ਪੰਜਾਹ	pəndʒäː˩˥
ਪੰਜਾਬੀਅਤ	pə̃d͡ʒaːbbijat
ਪੰਝੀ	pən˩˥dʒiː
ਪੰਦਰਾਂ	pənd̪ᵊɾä̃ː
ਪਰੌਂਠਾ	pəɾɔ̃ːʈʰäː
ਪੜ੍ਹਨਾ	pəɽɦnäː
ਪਿਆਲਾ	pɪjɑːlɑː
ਪਿਆਲੀ	pɪjɑːliː
ਪਿੰਡੂ	peːɳˑɖuː
ਪੀਂਦਾ	pĩːd̪äː
ਪੁਰਤਗਾਲ	pʊɾt̪əɡäːl
ਪੁਲਿਸ	pʊɭsə̆
ਪੇਂਡੂ	peːɳˑɖuː
ਪੈਂਤੀ	pɛ̃ːt̪iː
