# Persian (fa) abjad → IPA gold — the SHORT-VOWEL RESTORATION target. Fully-voweled human pronunciations
# from wikipron fas_arab BROAD (CC0/CC-BY-SA, Wiktionary), deduped; single-letter name citations dropped;
# homograph variants kept as extra tab fields (a word is credited if ANY variant matches). This is the
# data fa's restorer should train/lookup on (abjad↔IPA), vs the current Arabic-Tashkeela harakat silver.
آئین	ʔaːjiːn	ʔaːʔiːn
آئینه	ʔaːʔiːna
آب	ʔaːb
آباد	ʔaːbaːd
آبادان	ʔaːbaːdaːn
آبادانی	ʔaːbaːdaːniː
آبادی	ʔaːbaːdiː
آبان	ʔaːbaːn
آبتنی	ʔaːbtaniː
آبجو	ʔaːbd͡ʒaw
آبخست	ʔaːbxast	ʔaːbxust
آبخور	ʔaːbxʷar
آبخوست	ʔaːbxʷast
آبدار	ʔaːbdaːr
آبدارچی	ʔaːbdaːrt͡ʃiː
آبدست	ʔaːbdast
آبرو	ʔaːbroː	ʔaːbruː
آبروی	ʔaːbiroːj
آبزن	ʔaːbzan
آبزی	ʔaːbziː
آبستن	ʔaːbistan
آبستنی	ʔaːbistaniː
آبسنگ	ʔaːbsanɡ
آبشار	ʔaːbʃaːr
آبشخور	ʔaːbiʃxʷar
آبغوره	ʔaːbɣoːra
آبله	ʔaːbila
آبلیمو	aːbliːmuː
آبنبات	ʔaːbnabaːt
آبنوس	ʔaːbnuːs
آبچین	ʔaːbt͡ʃiːn
آبکند	ʔaːbkand
آبگرمکن	ʔaːbɡarmkun
آبگیر	ʔaːbɡiːr
آبگینه	ʔaːbɡiːna
آبی	ʔaːbiː
آبیاری	ʔaːbjaːriː
آب‌انبار	ʔaːbanbaːr
آب‌راه	ʔaːbraːh
آب‌پاش	ʔaːbpaːʃ
آب‌گوشت	ʔaːbɡoːʃt
آتش	ʔaːtaʃ
آتشدان	ʔaːtaʃdaːn
آتشکده	ʔaːtaʃkada
آتشی	ʔaːtaʃiː
آتش‌نشان	ʔaːtaʃniʃaːn
آتش‌پرست	ʔaːtaʃparast
آتنا	ʔaːtinaː
آتی	ʔaːtiː
آتیه	ʔaːtija
آثار	ʔaːsaːr
آجر	ʔaːd͡ʒur
آجیل	ʔaːd͡ʒiːl
آخ	ʔaːx
آختن	ʔaːxtan
آخر	ʔaːxar	ʔaːxir
آخرت	ʔaːxirat
آخه	ʔaːxa
آخور	ʔaːxʷar
آخوند	ʔaːxuːnd
آخوندک	ʔaːxuːndak
آخیز	ʔaːxiːz
آداب	ʔaːdaːb
آدر	ʔaːdar
آدم	ʔaːdam
آدمکش	ʔaːdamkuʃ
آدمی	ʔaːdamiː
آدمیت	ʔaːdamijjat
آدم‌برفی	ʔaːdambarfiː
آدم‌ها	ʔaːdamhaː
آدینه	ʔaːdeːna	ʔaːdiːna
آذار	ʔaːzaːr
آذر	ʔaːzar	ʔaːðar
آذرآبادگان	ʔaːzarʔaːbaːdaɡaːn	ʔaːðarʔaːbaːdaɡaːn
آذربایجان	ʔaːzarbaːjd͡ʒaːn	ʔaːðarbaːjd͡ʒaːn
آذربایجانی	ʔaːðarbaːjd͡ʒaːniː
آذرخش	ʔaːzaraxʃ	ʔaːðaraxʃ
آذرگون	ʔaːzarɡoːn	ʔaːðarɡoːn
آذری	ʔaːðariː
آذوقه	ʔaːzuːqa
آذین	ʔaːziːn	ʔaːðiːn
آرا	ʔaːraː
آرارات	ʔaːraːraːt
آراستن	ʔaːraːstan
آرام	ʔaːraːm
آرامش	ʔaːraːmiʃ
آرامگاه	ʔaːraːmɡaːh
آرامی	ʔaːraːmiː
آرایش	ʔaːraːjiʃ
آرایشگاه	ʔaːraːjiʃɡaːh
آرایشگر	ʔaːraːjiʃɡar
آرایه	ʔaːraːja
آرد	ʔaːrad	ʔaːrd
آرزو	ʔaːrizoː	ʔaːrzoː
آرزومند	ʔaːrizoːmand	ʔaːrzoːmand
آرش	ʔaːraʃ
آرشام	ʔaːrʃaːm
آرمان	ʔarmaːn	ʔaːrmaːn
آرنج	ʔaːrand͡ʒ
آروغ	ʔaːroːɣ
آرپا	ʔaːrpaː
آری	aːreː
آریا	ʔaːrijaː	ʔaːrjaː
آریان	ʔaːrijaːn	ʔaːrjaːn
آز	aːz
آزاد	ʔaːzaːd
آزادراه	ʔaːzaːdraːh
آزادی	ʔaːzaːdiː
آزار	ʔaːzaːr
آزاری	ʔaːzaːriː
آزردن	ɒːzoɾdæn
آزما	ʔaːzmaː
آزمایش	ʔaːzmaːjiʃ
آزمایشگاه	ʔaːzmaːjiʃɡaːh
آزمودن	ʔaːzmuːdan
آزموده	ʔaːzmuːda
آزمون	ʔaːzmuːn
آس	ʔaːs
آسام	ʔaːsaːm
آسان	ʔaːsaːn
آسانی	ʔaːsaːniː
آسایش	ʔaːsaːjiʃ
آسایشگاه	ʔaːsaːjiʃɡaːh
آستانه	ʔaːstaːna
آستانه‌ای	ʔaːstaːnaiː
آستر	ʔaːstar
آستین	ʔaːstiːn
آسمان	ʔaːsimaːn	ʔaːsmaːn
آسمانرنگ	ʔaːsmaːnranɡ
آسمانگون	ʔaːsimaːnɡoːn	ʔaːsmaːnɡoːn
آسمانی	ʔaːsmaːniː
آسمان‌خراش	ʔaːsmaːnxaraːʃ
آسودن	ʔaːsuːdan
آسوده	ʔaːsuːda
آسیا	ʔaːsijaː
آسیاب	ʔaːsijaːb
آسیایی	ʔaːsijaːjiː
آسیب	ʔaːseːb
آسیمه	ʔaːseːma
آش	ʔaːʃ
آشام	ʔaːʃaːm
آشامیدن	ʔaːʃaːmiːdan
آشامیدنی	ʔaːʃaːmiːdaniː
آشتی	ʔaːʃtiː
آشفتن	ʔaːʃuftan
آشفته	ʔaːʃufta
آشنا	ʔaːʃinaː	ʔaːʃnaː
آشنایی	ʔaːʃinaːjiː	ʔaːʃnaːjiː
آشوب	ʔaːʃoːb
آشوب‌ها	ɒːʃuːbhɒː
آشور	ʔaːʃuːr
آشوری	ʔaːʃuːriː
آشپز	ʔaːʃpaz
