# Persian abjad → IPA SILVER, derived from Tajik cognates (the coverage extension beyond wikipron).
# word = Persian abjad (from the fa frequency wordlist); ipa = Tajik-derived Persian IPA (tajik-align remap,
# ~71% est. quality vs the fa gold — see the divergence analysis). Regenerate: tools/fa-restoration/tajik-align.ts
# machinery over the tgwiki vocabulary. Sources permissive (wikipron/tgwiki CC-BY-SA; IPA is ours). word<TAB>ipa
آبت	ʔabjɒt
آبرو	ʔabru
آبل	ʔabel
آپن	ʔapn
آتل	ʔatal
آتن	jeten
آخت	ʔaχta
آخر	ʔaχjɒr
آدرس	ʔadres
آدم	ʔadam
آذر	ʔazar
آرد	ʔarad
آرزو	ʔarzu
آرس	ʔarse
آرگون	ʔarɡun
آرم	ʔarm
آرمسترانگ	ʔarmstrɒnɡ
آرمن	ʔarman
آرند	ʔaranda
آریتمی	ʔaritmija
آریل	ʔarijel
آرین	ʔarian
آزتک	ʔazteka
آستان	ʔastɒn
آسم	ʔasam
آشتی	ʔaʃti
آفریقا	ʔafriqɒ
آفرین	jefrajn
آکد	ʔakad
آکوستیک	ʔakustika
آلبر	ʔalber
آلبرت	ʔalbert
آلبوم	ʔalbum
آلپ	ʔalp
آلتو	ʔalatau
آلفرد	ʔalfred
آلن	jelan
آما	ʔamɒ
آمپر	ʔamper
آمر	ʔamr
آمریت	ʔamrita
آمریکا	ʔamrikɒ
آمل	ʔamal
آمن	ʔamn
آن	ʔan
آنتی	ʔanti
آنجلا	ʔand͡ʒelɒ
آنجلس	ʔand͡ʒeles
آنژ	ʔanʒe
آنند	ʔanand
آورد	ʔurda
آوند	ʔujand
آونگ	ʔaunɡ
آویو	ʔawiw
آی	ʔi
آیپد	ʔipd
آیدا	ʔidɒ
آیدی	ʔidi
آیدین	ʔajdin
آیراد	ʔirɒda
آیس	ʔis
آیلین	ʔilin
آیمان	ʔimɒn
آین	ʔin
آیند	ʔind
ابد	ʔabad
ابدال	ʔabdɒl
ابدان	ʔabdɒn
ابرا	jebrɒ
ابرار	ʔabrɒr
ابرت	jebert
ابرکوه	ʔabarkuh
ابن	ʔabana
ابهی	ʔabhaj
ابوبکر	ʔabubakr
ابوسعید	ʔabusaʔid
ابوظبی	ʔabuzabi
ابول	ʔabul
اپک	ʔapk
اپیدمی	jepidemija
اپیکور	jepikur
ات	ʔat
اتان	ʔatɒn
اتر	ʔatr
اتم	ʔatm
اتو	jetu
اتیل	jetil
اتیلن	jetilen
اثر	ʔasar
اج	jed͡ʒe
اجل	ʔad͡ʒal
اجی	ʔad͡ʒaj
احد	ʔahd
احرام	jehrɒm
احساس	jehsɒs
احسان	jehsɒn
اخت	ʔaχta
اخیر	ʔaχir
ادب	ʔadab
ادموند	jedmund
ادهم	ʔadham
ادیپ	jedip
ادیت	jedit
ادینبورگ	jedinburɡ
اذیت	ʔazijat
اراب	ʔarɒba
اراد	jerɒd
ارث	ʔarse
ارد	ʔarad
اردبیل	ʔardabil
اردشیر	ʔardaʃir
اردکان	ʔardakɒn
ارس	ʔarse
ارسطو	ʔarastu
ارشد	ʔarʃad
ارشک	ʔarʃak
ارکان	ʔarkɒn
ارگان	ʔaraɡɒn
ارل	ʔaral
ارم	ʔarm
ارنست	jernest
اروس	ʔarus
اروین	jerwin
اریان	ʔariɒn
اریک	jerik
از	ʔaz
ازل	ʔazal
ازم	ʔazm
ازنو	ʔaznaw
اژدها	ʔaʒdahɒ
اس	ʔas
اسارت	ʔasɒrat
اسپارت	jespɒrte
است	ʔast
استان	ʔastɒn
استر	ʔastra
استن	ʔastana
اسد	ʔasad
اسکی	jeski
اسلش	ʔaslaʃ
